entity_kind,refactoring_type,metric,count,mean,median,std,min,max
design_smell,__commit__,Broken Hierarchy,2952,-0.5084688346883469,0.0,21.49629607459961,-1079.0,12.0
design_smell,__commit__,Broken Modularization,2952,-0.04098915989159892,0.0,1.4597317486181478,-51.0,4.0
design_smell,__commit__,Cyclic Hierarchy,2952,-0.0010162601626016261,0.0,0.0552157630374233,-3.0,0.0
design_smell,__commit__,Cyclic-Dependent Modularization,2952,-0.5718157181571816,0.0,24.67720975894297,-1246.0,15.0
design_smell,__commit__,Deep Hierarchy,2952,-0.005420054200542005,0.0,0.24553848811743967,-13.0,0.0
design_smell,__commit__,Deficient Encapsulation,2952,-0.7201897018970189,0.0,27.750894104210705,-1210.0,7.0
design_smell,__commit__,Hub-like Modularization,2952,-0.02168021680216802,0.0,0.8655092279665443,-43.0,0.0
design_smell,__commit__,Imperative Abstraction,2952,-0.0047425474254742545,0.0,0.27050513407733473,-10.0,2.0
design_smell,__commit__,Insufficient Modularization,2952,-0.45663956639566394,0.0,17.51705805480642,-741.0,4.0
design_smell,__commit__,Missing Hierarchy,2952,-0.012195121951219513,0.0,0.6159412232632233,-32.0,6.0
design_smell,__commit__,Multifaceted Abstraction,2952,-0.007452574525745257,0.0,0.2886278099218126,-12.0,3.0
design_smell,__commit__,Multipath Hierarchy,2952,-0.0033875338753387536,0.0,0.13270141709887548,-5.0,1.0
design_smell,__commit__,Rebellious Hierarchy,2952,-0.029471544715447155,0.0,1.1008816243970996,-46.0,1.0
design_smell,__commit__,Unexploited Encapsulation,2952,-0.010501355013550135,0.0,0.37576284455610015,-19.0,1.0
design_smell,__commit__,Unnecessary Abstraction,2952,-0.2225609756097561,0.0,9.028303276954407,-437.0,19.0
design_smell,__commit__,Unutilized Abstraction,2952,-2.5877371273712737,0.0,109.00435899510458,-5191.0,75.0
design_smell,__commit__,Wide Hierarchy,2952,-0.018631436314363144,0.0,0.816629780816583,-39.0,1.0
implementation_smell,__commit__,Abstract Function Call From Constructor,2952,-0.012533875338753388,0.0,0.6034286557101671,-32.0,1.0
implementation_smell,__commit__,Complex Conditional,2952,-0.940379403794038,0.0,47.97444220595911,-2587.0,39.0
implementation_smell,__commit__,Complex Method,2952,-1.4867886178861789,0.0,77.81176072201951,-4215.0,33.0
implementation_smell,__commit__,Empty catch clause,2952,-0.8282520325203252,0.0,35.56030632455903,-1780.0,8.0
implementation_smell,__commit__,Long Identifier,2952,-1.6852981029810299,0.0,74.77874886341934,-3915.0,13.0
implementation_smell,__commit__,Long Method,2952,-0.31910569105691056,0.0,15.510858041831233,-835.0,4.0
implementation_smell,__commit__,Long Parameter List,2952,-0.40853658536585363,0.0,19.940977844210032,-1038.0,13.0
implementation_smell,__commit__,Long Statement,2952,-13.67039295392954,0.0,507.6576472205923,-24656.0,47.0
implementation_smell,__commit__,Magic Number,2952,-89.51626016260163,0.0,4099.639720730318,-219998.0,369.0
implementation_smell,__commit__,Missing default,2952,-0.12669376693766937,0.0,6.699196443039634,-362.0,6.0
method,Add Method Annotation,CC,1144,-0.006118881118881119,0.0,0.3436171747130839,-3.0,4.0
method,Add Method Annotation,LOC,1144,-0.1687062937062937,0.0,2.405600000151782,-30.0,25.0
method,Add Method Annotation,PC,1144,-0.0008741258741258741,0.0,0.06613386748713965,-1.0,1.0
method,Add Method Modifier,CC,58,0.20689655172413793,0.0,0.4869749332377756,0.0,2.0
method,Add Method Modifier,LOC,58,1.1379310344827587,0.0,2.9346584478754303,-6.0,13.0
method,Add Method Modifier,PC,58,0.0,0.0,0.0,0.0,0.0
method,Add Parameter,CC,1394,0.2855093256814921,0.0,0.8482773762701207,-2.0,11.0
method,Add Parameter,LOC,1394,2.2381635581061694,1.0,4.484393428456475,-25.0,44.0
method,Add Parameter,PC,1394,1.2417503586800573,1.0,0.7623263829149366,-1.0,7.0
method,Add Parameter Annotation,CC,358,0.019553072625698324,0.0,0.20404267480552454,-1.0,2.0
method,Add Parameter Annotation,LOC,358,0.11452513966480447,0.0,1.1231015344968576,-4.0,17.0
method,Add Parameter Annotation,PC,358,0.05027932960893855,0.0,0.243083437549237,0.0,2.0
method,Add Parameter Modifier,CC,21,0.0,0.0,0.0,0.0,0.0
method,Add Parameter Modifier,LOC,21,0.09523809523809523,0.0,0.30079260375911915,0.0,1.0
method,Add Parameter Modifier,PC,21,0.047619047619047616,0.0,0.21821789023599236,0.0,1.0
method,Add Thrown Exception Type,CC,171,0.391812865497076,0.0,1.1998738610461268,-2.0,9.0
method,Add Thrown Exception Type,LOC,171,1.2514619883040936,0.0,8.432495665230714,-45.0,30.0
method,Add Thrown Exception Type,PC,171,0.005847953216374269,0.0,0.07647191129018725,0.0,1.0
method,Add Variable Annotation,CC,55,0.03636363636363636,0.0,0.5078508224985542,-2.0,3.0
method,Add Variable Annotation,LOC,55,0.21818181818181817,0.0,1.6294842298159424,-5.0,10.0
method,Add Variable Annotation,PC,55,0.01818181818181818,0.0,0.13483997249264842,0.0,1.0
method,Add Variable Modifier,CC,41,-0.17073170731707318,0.0,1.8561039710155014,-10.0,3.0
method,Add Variable Modifier,LOC,41,1.6829268292682926,0.0,12.574655113342562,-48.0,54.0
method,Add Variable Modifier,PC,41,0.12195121951219512,0.0,0.6401219396028974,0.0,4.0
method,Assert Throws,CC,20,0.0,0.0,0.0,0.0,0.0
method,Assert Throws,LOC,20,-0.2,0.0,3.071087583799658,-6.0,10.0
method,Assert Throws,PC,20,0.0,0.0,0.0,0.0,0.0
