metric_category,metric_name,observation_count,unique_commit_count,median_delta,mean_delta,std_delta,q1_delta,q3_delta,iqr_delta,min_delta,max_delta,improved_commits,worsened_commits,unchanged_commits,improvement_rate,worsening_rate,wilcoxon_stat,wilcoxon_p_value,rank_biserial_effect,wilcoxon_p_value_fdr
design_smell,Broken Hierarchy,2952,2952,0.0,-0.5084688346883469,21.492654794642228,0.0,0.0,0.0,-1079.0,12.0,11,29,2912,0.0037262872628726286,0.009823848238482384,246.0,0.02543823911889469,-0.45,0.04393877665990901
design_smell,Broken Modularization,2952,2952,0.0,-0.04098915989159892,1.4594844831385014,0.0,0.0,0.0,-51.0,4.0,13,21,2918,0.004403794037940379,0.007113821138211382,246.5,0.3671496292997083,-0.23529411764705882,0.4650561971129638
design_smell,Cyclic Hierarchy,2952,2952,0.0,-0.0010162601626016261,0.05520640998187427,0.0,0.0,0.0,-3.0,0.0,1,0,2951,0.00033875338753387534,0.0,0.0,1.0,1.0,1.0
design_smell,Cyclic-Dependent Modularization,2952,2952,0.0,-0.5718157181571816,24.67302966070698,0.0,0.0,0.0,-1246.0,15.0,11,55,2886,0.0037262872628726286,0.018631436314363144,430.5,1.2181886599552235e-05,-0.6666666666666666,3.306512077021321e-05
design_smell,Deep Hierarchy,2952,2952,0.0,-0.005420054200542005,0.245496896097472,0.0,0.0,0.0,-13.0,0.0,2,0,2950,0.0006775067750677507,0.0,0.0,0.5,1.0,0.585289984375002
design_smell,Deficient Encapsulation,2952,2952,0.0,-0.7201897018970189,27.74619335138549,0.0,0.0,0.0,-1210.0,7.0,15,48,2889,0.00508130081300813,0.016260162601626018,554.0,0.0011218462704210607,-0.5238095238095238,0.002131507913800015
design_smell,Hub-like Modularization,2952,2952,0.0,-0.02168021680216802,0.8653626184579176,0.0,0.0,0.0,-43.0,0.0,4,0,2948,0.0013550135501355014,0.0,0.0,0.125,1.0,0.19
design_smell,Imperative Abstraction,2952,2952,0.0,-0.0047425474254742545,0.27045931293123227,0.0,0.0,0.0,-10.0,2.0,11,17,2924,0.0037262872628726286,0.005758807588075881,189.5,0.7415355349067567,-0.21428571428571427,0.7827319535126877
design_smell,Insufficient Modularization,2952,2952,0.0,-0.45663956639566394,17.51409082211726,0.0,0.0,0.0,-741.0,4.0,13,45,2894,0.004403794037940379,0.01524390243902439,449.0,0.0006556573473983394,-0.5517241379310345,0.0013113146947966788
design_smell,Missing Hierarchy,2952,2952,0.0,-0.012195121951219513,0.6158368883385723,0.0,0.0,0.0,-32.0,6.0,5,4,2943,0.0016937669376693768,0.0013550135501355014,15.0,0.421875,0.1111111111111111,0.5171370967741935
