metric_category,metric_name,motivation_label,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Broken Hierarchy,dependency,37,37,0.0,0.10810810810810811,0.0,0.0,0.0,0.02702702702702703
design_smell,Broken Hierarchy,duplication,8,8,0.0,0.625,0.0,0.0,0.0,0.125
design_smell,Broken Hierarchy,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Hierarchy,legacy_code,25,25,0.0,-0.04,0.0,0.0,0.04,0.0
design_smell,Broken Hierarchy,logical_mismatch,231,231,0.0,-0.017316017316017316,0.0,0.0,0.004329004329004329,0.004329004329004329
design_smell,Broken Hierarchy,maintainability,431,431,0.0,-2.4361948955916475,0.0,0.0,0.004640371229698376,0.02320185614849188
design_smell,Broken Hierarchy,readability,538,538,0.0,0.0018587360594795538,0.0,0.0,0.0037174721189591076,0.0018587360594795538
design_smell,Broken Hierarchy,repurpose_reuse,33,33,0.0,0.30303030303030304,0.0,0.0,0.0,0.030303030303030304
design_smell,Broken Hierarchy,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Hierarchy,testability,57,57,0.0,-0.7192982456140351,0.0,0.0,0.017543859649122806,0.0
design_smell,Broken Modularization,dependency,37,37,0.0,-1.3783783783783783,0.0,0.0,0.02702702702702703,0.0
design_smell,Broken Modularization,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Modularization,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Modularization,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Modularization,logical_mismatch,231,231,0.0,0.017316017316017316,0.0,0.0,0.0,0.004329004329004329
design_smell,Broken Modularization,maintainability,431,431,0.0,-0.060324825986078884,0.0,0.0,0.009280742459396751,0.018561484918793503
design_smell,Broken Modularization,readability,538,538,0.0,0.0037174721189591076,0.0,0.0,0.0,0.0037174721189591076
design_smell,Broken Modularization,repurpose_reuse,33,33,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.030303030303030304
design_smell,Broken Modularization,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Modularization,testability,57,57,0.0,0.0,0.0,0.0,0.017543859649122806,0.017543859649122806
design_smell,Cyclic Hierarchy,dependency,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,logical_mismatch,231,231,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,maintainability,431,431,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,readability,538,538,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,testability,57,57,0.0,-0.05263157894736842,0.0,0.0,0.017543859649122806,0.0
design_smell,Cyclic-Dependent Modularization,dependency,37,37,0.0,0.16216216216216217,0.0,0.0,0.02702702702702703,0.05405405405405406
design_smell,Cyclic-Dependent Modularization,duplication,8,8,0.0,0.25,0.0,0.0,0.0,0.125
design_smell,Cyclic-Dependent Modularization,hard_to_debug,23,23,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216
design_smell,Cyclic-Dependent Modularization,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic-Dependent Modularization,logical_mismatch,231,231,0.0,0.030303030303030304,0.0,0.0,0.0,0.021645021645021644
design_smell,Cyclic-Dependent Modularization,maintainability,431,431,0.0,-1.111368909512761,0.0,0.0,0.013921113689095127,0.027842227378190254
design_smell,Cyclic-Dependent Modularization,readability,538,538,0.0,0.03531598513011153,0.0,0.0,0.0018587360594795538,0.01858736059479554
design_smell,Cyclic-Dependent Modularization,repurpose_reuse,33,33,0.0,0.5151515151515151,0.0,0.0,0.0,0.06060606060606061
design_smell,Cyclic-Dependent Modularization,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic-Dependent Modularization,testability,57,57,0.0,-1.2105263157894737,0.0,0.0,0.017543859649122806,0.0
design_smell,Deep Hierarchy,dependency,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,logical_mismatch,231,231,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,maintainability,431,431,0.0,-0.030162412993039442,0.0,0.0,0.002320185614849188,0.0
design_smell,Deep Hierarchy,readability,538,538,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,testability,57,57,0.0,-0.05263157894736842,0.0,0.0,0.017543859649122806,0.0
design_smell,Deficient Encapsulation,dependency,37,37,0.0,-0.2972972972972973,0.0,0.0,0.02702702702702703,0.02702702702702703
design_smell,Deficient Encapsulation,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deficient Encapsulation,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deficient Encapsulation,legacy_code,25,25,0.0,0.08,0.0,0.0,0.0,0.08
design_smell,Deficient Encapsulation,logical_mismatch,231,231,0.0,0.008658008658008658,0.0,0.0,0.0,0.008658008658008658
design_smell,Deficient Encapsulation,maintainability,431,431,0.0,-2.7842227378190256,0.0,0.0,0.009280742459396751,0.02088167053364269
design_smell,Deficient Encapsulation,readability,538,538,0.0,0.022304832713754646,0.0,0.0,0.0018587360594795538,0.022304832713754646
design_smell,Deficient Encapsulation,repurpose_reuse,33,33,0.0,0.09090909090909091,0.0,0.0,0.0,0.030303030303030304
design_smell,Deficient Encapsulation,slow_performance,21,21,0.0,0.14285714285714285,0.0,0.0,0.0,0.047619047619047616
design_smell,Deficient Encapsulation,testability,57,57,0.0,-0.9824561403508771,0.0,0.0,0.017543859649122806,0.0
design_smell,Hub-like Modularization,dependency,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,logical_mismatch,231,231,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,maintainability,431,431,0.0,-0.04640371229698376,0.0,0.0,0.004640371229698376,0.0
design_smell,Hub-like Modularization,readability,538,538,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,testability,57,57,0.0,-0.017543859649122806,0.0,0.0,0.017543859649122806,0.0
design_smell,Imperative Abstraction,dependency,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,legacy_code,25,25,0.0,0.04,0.0,0.0,0.0,0.04
design_smell,Imperative Abstraction,logical_mismatch,231,231,0.0,-0.004329004329004329,0.0,0.0,0.004329004329004329,0.0
design_smell,Imperative Abstraction,maintainability,431,431,0.0,-0.013921113689095127,0.0,0.0,0.004640371229698376,0.004640371229698376
design_smell,Imperative Abstraction,readability,538,538,0.0,0.0055762081784386614,0.0,0.0,0.0,0.0055762081784386614
design_smell,Imperative Abstraction,repurpose_reuse,33,33,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,slow_performance,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,testability,57,57,0.0,-0.10526315789473684,0.0,0.0,0.017543859649122806,0.0
design_smell,Insufficient Modularization,dependency,37,37,0.0,0.10810810810810811,0.0,0.0,0.0,0.02702702702702703
design_smell,Insufficient Modularization,duplication,8,8,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Insufficient Modularization,hard_to_debug,23,23,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Insufficient Modularization,legacy_code,25,25,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Insufficient Modularization,logical_mismatch,231,231,0.0,0.017316017316017316,0.0,0.0,0.0,0.012987012987012988
design_smell,Insufficient Modularization,maintainability,431,431,0.0,-1.3503480278422273,0.0,0.0,0.009280742459396751,0.03480278422273782
design_smell,Insufficient Modularization,readability,538,538,0.0,0.016728624535315983,0.0,0.0,0.0,0.016728624535315983
