metric_category,metric_name,motivation_label,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Broken Hierarchy,dependency,59,59,0.0,0.06779661016949153,0.0,0.0,0.0,0.01694915254237288
design_smell,Broken Hierarchy,duplication,21,21,0.0,0.23809523809523808,0.0,0.0,0.0,0.047619047619047616
design_smell,Broken Hierarchy,hard_to_debug,37,37,0.0,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703
design_smell,Broken Hierarchy,legacy_code,47,47,0.0,-0.02127659574468085,0.0,0.0,0.02127659574468085,0.0
design_smell,Broken Hierarchy,logical_mismatch,443,443,0.0,-0.009029345372460496,0.0,0.0,0.002257336343115124,0.002257336343115124
design_smell,Broken Hierarchy,maintainability,1018,1018,0.0,-1.4607072691552063,0.0,0.0,0.005893909626719057,0.018664047151277015
design_smell,Broken Hierarchy,readability,1096,1096,0.0,0.0018248175182481751,0.0,0.0,0.0018248175182481751,0.0018248175182481751
design_smell,Broken Hierarchy,repurpose_reuse,89,89,0.0,0.1797752808988764,0.0,0.0,0.0,0.033707865168539325
design_smell,Broken Hierarchy,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Hierarchy,testability,97,97,0.0,-0.38144329896907214,0.0,0.0,0.010309278350515464,0.010309278350515464
design_smell,Broken Modularization,dependency,59,59,0.0,-0.864406779661017,0.0,0.0,0.01694915254237288,0.0
design_smell,Broken Modularization,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Modularization,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Modularization,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Modularization,logical_mismatch,443,443,0.0,0.009029345372460496,0.0,0.0,0.0,0.002257336343115124
design_smell,Broken Modularization,maintainability,1018,1018,0.0,-0.08055009823182711,0.0,0.0,0.007858546168958742,0.011787819253438114
design_smell,Broken Modularization,readability,1096,1096,0.0,0.006386861313868613,0.0,0.0,0.0009124087591240876,0.005474452554744526
design_smell,Broken Modularization,repurpose_reuse,89,89,0.0,0.011235955056179775,0.0,0.0,0.02247191011235955,0.011235955056179775
design_smell,Broken Modularization,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Broken Modularization,testability,97,97,0.0,0.0,0.0,0.0,0.010309278350515464,0.010309278350515464
design_smell,Cyclic Hierarchy,dependency,59,59,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,logical_mismatch,443,443,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,maintainability,1018,1018,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,readability,1096,1096,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,repurpose_reuse,89,89,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,testability,97,97,0.0,-0.030927835051546393,0.0,0.0,0.010309278350515464,0.0
design_smell,Cyclic-Dependent Modularization,dependency,59,59,0.0,0.1016949152542373,0.0,0.0,0.01694915254237288,0.03389830508474576
design_smell,Cyclic-Dependent Modularization,duplication,21,21,0.0,0.09523809523809523,0.0,0.0,0.0,0.047619047619047616
design_smell,Cyclic-Dependent Modularization,hard_to_debug,37,37,0.0,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703
design_smell,Cyclic-Dependent Modularization,legacy_code,47,47,0.0,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085
design_smell,Cyclic-Dependent Modularization,logical_mismatch,443,443,0.0,0.01805869074492099,0.0,0.0,0.0,0.013544018058690745
design_smell,Cyclic-Dependent Modularization,maintainability,1018,1018,0.0,-1.6640471512770139,0.0,0.0,0.007858546168958742,0.023575638506876228
design_smell,Cyclic-Dependent Modularization,readability,1096,1096,0.0,0.035583941605839414,0.0,0.0,0.0009124087591240876,0.01551094890510949
design_smell,Cyclic-Dependent Modularization,repurpose_reuse,89,89,0.0,0.20224719101123595,0.0,0.0,0.0,0.033707865168539325
design_smell,Cyclic-Dependent Modularization,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic-Dependent Modularization,testability,97,97,0.0,-0.711340206185567,0.0,0.0,0.010309278350515464,0.0
design_smell,Deep Hierarchy,dependency,59,59,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,logical_mismatch,443,443,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,maintainability,1018,1018,0.0,-0.012770137524557957,0.0,0.0,0.0009823182711198428,0.0
design_smell,Deep Hierarchy,readability,1096,1096,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,repurpose_reuse,89,89,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,testability,97,97,0.0,-0.030927835051546393,0.0,0.0,0.010309278350515464,0.0
design_smell,Deficient Encapsulation,dependency,59,59,0.0,-0.1864406779661017,0.0,0.0,0.01694915254237288,0.01694915254237288
design_smell,Deficient Encapsulation,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deficient Encapsulation,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deficient Encapsulation,legacy_code,47,47,0.0,0.0425531914893617,0.0,0.0,0.0,0.0425531914893617
design_smell,Deficient Encapsulation,logical_mismatch,443,443,0.0,0.004514672686230248,0.0,0.0,0.004514672686230248,0.009029345372460496
design_smell,Deficient Encapsulation,maintainability,1018,1018,0.0,-2.0481335952848725,0.0,0.0,0.0068762278978389,0.0206286836935167
design_smell,Deficient Encapsulation,readability,1096,1096,0.0,0.013686131386861315,0.0,0.0,0.002737226277372263,0.01551094890510949
design_smell,Deficient Encapsulation,repurpose_reuse,89,89,0.0,0.056179775280898875,0.0,0.0,0.0,0.02247191011235955
design_smell,Deficient Encapsulation,slow_performance,45,45,0.0,0.06666666666666667,0.0,0.0,0.0,0.022222222222222223
design_smell,Deficient Encapsulation,testability,97,97,0.0,-0.5876288659793815,0.0,0.0,0.020618556701030927,0.0
design_smell,Hub-like Modularization,dependency,59,59,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,duplication,21,21,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,hard_to_debug,37,37,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,legacy_code,47,47,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,logical_mismatch,443,443,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,maintainability,1018,1018,0.0,-0.0618860510805501,0.0,0.0,0.0029469548133595285,0.0
design_smell,Hub-like Modularization,readability,1096,1096,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,repurpose_reuse,89,89,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,slow_performance,45,45,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,testability,97,97,0.0,-0.010309278350515464,0.0,0.0,0.010309278350515464,0.0
design_smell,Imperative Abstraction,dependency,59,59,0.0,0.0,0.0,0.0,0.0,0.0
