metric_category,metric_name,refactoring_type,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Broken Hierarchy,__commit__,332,332,0.0,0.0963855421686747,0.0,0.0,0.0030120481927710845,0.024096385542168676
design_smell,Broken Modularization,__commit__,332,332,0.0,-0.14156626506024098,0.0,0.0,0.0030120481927710845,0.009036144578313253
design_smell,Cyclic Hierarchy,__commit__,332,332,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic-Dependent Modularization,__commit__,332,332,0.0,0.03614457831325301,0.0,0.0,0.006024096385542169,0.02108433734939759
design_smell,Deep Hierarchy,__commit__,332,332,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deficient Encapsulation,__commit__,332,332,0.0,-0.045180722891566265,0.0,0.0,0.006024096385542169,0.006024096385542169
design_smell,Hub-like Modularization,__commit__,332,332,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Imperative Abstraction,__commit__,332,332,0.0,0.006024096385542169,0.0,0.0,0.0,0.006024096385542169
design_smell,Insufficient Modularization,__commit__,332,332,0.0,-0.0030120481927710845,0.0,0.0,0.009036144578313253,0.012048192771084338
design_smell,Missing Hierarchy,__commit__,332,332,0.0,-0.006024096385542169,0.0,0.0,0.0030120481927710845,0.0
design_smell,Multifaceted Abstraction,__commit__,332,332,0.0,-0.006024096385542169,0.0,0.0,0.006024096385542169,0.0
design_smell,Multipath Hierarchy,__commit__,332,332,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,__commit__,332,332,0.0,-0.0030120481927710845,0.0,0.0,0.0030120481927710845,0.0
design_smell,Unexploited Encapsulation,__commit__,332,332,0.0,-0.006024096385542169,0.0,0.0,0.0030120481927710845,0.0
design_smell,Unnecessary Abstraction,__commit__,332,332,0.0,-0.10240963855421686,0.0,0.0,0.012048192771084338,0.0030120481927710845
design_smell,Unutilized Abstraction,__commit__,332,332,0.0,-0.02710843373493976,0.0,0.0,0.06325301204819277,0.12349397590361445
design_smell,Wide Hierarchy,__commit__,332,332,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0030120481927710845
implementation_smell,Abstract Function Call From Constructor,__commit__,332,332,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0030120481927710845
implementation_smell,Complex Conditional,__commit__,332,332,0.0,0.0,0.0,0.0,0.02108433734939759,0.02108433734939759
implementation_smell,Complex Method,__commit__,332,332,0.0,-0.018072289156626505,0.0,0.0,0.030120481927710843,0.018072289156626505
implementation_smell,Empty catch clause,__commit__,332,332,0.0,0.009036144578313253,0.0,0.0,0.012048192771084338,0.012048192771084338
implementation_smell,Long Identifier,__commit__,332,332,0.0,-0.018072289156626505,0.0,0.0,0.018072289156626505,0.006024096385542169
implementation_smell,Long Method,__commit__,332,332,0.0,0.0030120481927710845,0.0,0.0,0.0030120481927710845,0.006024096385542169
implementation_smell,Long Parameter List,__commit__,332,332,0.0,-0.006024096385542169,0.0,0.0,0.012048192771084338,0.009036144578313253
implementation_smell,Long Statement,__commit__,332,332,0.0,-0.7771084337349398,0.0,0.0,0.13855421686746988,0.1566265060240964
implementation_smell,Magic Number,__commit__,332,332,0.0,0.5421686746987951,0.0,0.0,0.08132530120481928,0.11144578313253012
implementation_smell,Missing default,__commit__,332,332,0.0,-0.006024096385542169,0.0,0.0,0.006024096385542169,0.0
method_metric,CC,Add Method Annotation,63,17,0.0,-0.06349206349206349,0.0,0.0,0.06349206349206349,0.0
