metric_category,metric_name,refactoring_type,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Broken Hierarchy,__commit__,2952,2952,0.0,-0.5084688346883469,0.0,0.0,0.0037262872628726286,0.009823848238482384
design_smell,Broken Modularization,__commit__,2952,2952,0.0,-0.04098915989159892,0.0,0.0,0.004403794037940379,0.007113821138211382
design_smell,Cyclic Hierarchy,__commit__,2952,2952,0.0,-0.0010162601626016261,0.0,0.0,0.00033875338753387534,0.0
design_smell,Cyclic-Dependent Modularization,__commit__,2952,2952,0.0,-0.5718157181571816,0.0,0.0,0.0037262872628726286,0.018631436314363144
design_smell,Deep Hierarchy,__commit__,2952,2952,0.0,-0.005420054200542005,0.0,0.0,0.0006775067750677507,0.0
design_smell,Deficient Encapsulation,__commit__,2952,2952,0.0,-0.7201897018970189,0.0,0.0,0.00508130081300813,0.016260162601626018
design_smell,Hub-like Modularization,__commit__,2952,2952,0.0,-0.02168021680216802,0.0,0.0,0.0013550135501355014,0.0
design_smell,Imperative Abstraction,__commit__,2952,2952,0.0,-0.0047425474254742545,0.0,0.0,0.0037262872628726286,0.005758807588075881
design_smell,Insufficient Modularization,__commit__,2952,2952,0.0,-0.45663956639566394,0.0,0.0,0.004403794037940379,0.01524390243902439
design_smell,Missing Hierarchy,__commit__,2952,2952,0.0,-0.012195121951219513,0.0,0.0,0.0016937669376693768,0.0013550135501355014
design_smell,Multifaceted Abstraction,__commit__,2952,2952,0.0,-0.007452574525745257,0.0,0.0,0.003048780487804878,0.0010162601626016261
design_smell,Multipath Hierarchy,__commit__,2952,2952,0.0,-0.0033875338753387536,0.0,0.0,0.0010162601626016261,0.0006775067750677507
design_smell,Rebellious Hierarchy,__commit__,2952,2952,0.0,-0.029471544715447155,0.0,0.0,0.0013550135501355014,0.0006775067750677507
design_smell,Unexploited Encapsulation,__commit__,2952,2952,0.0,-0.010501355013550135,0.0,0.0,0.0016937669376693768,0.00033875338753387534
design_smell,Unnecessary Abstraction,__commit__,2952,2952,0.0,-0.2225609756097561,0.0,0.0,0.013211382113821139,0.017615176151761516
design_smell,Unutilized Abstraction,__commit__,2952,2952,0.0,-2.5877371273712737,0.0,0.0,0.0521680216802168,0.13380758807588075
design_smell,Wide Hierarchy,__commit__,2952,2952,0.0,-0.018631436314363144,0.0,0.0,0.0010162601626016261,0.0020325203252032522
implementation_smell,Abstract Function Call From Constructor,__commit__,2952,2952,0.0,-0.012533875338753388,0.0,0.0,0.0006775067750677507,0.0006775067750677507
implementation_smell,Complex Conditional,__commit__,2952,2952,0.0,-0.940379403794038,0.0,0.0,0.018631436314363144,0.05758807588075881
implementation_smell,Complex Method,__commit__,2952,2952,0.0,-1.4867886178861789,0.0,0.0,0.014905149051490514,0.08062330623306233
implementation_smell,Empty catch clause,__commit__,2952,2952,0.0,-0.8282520325203252,0.0,0.0,0.010501355013550135,0.031504065040650404
implementation_smell,Long Identifier,__commit__,2952,2952,0.0,-1.6852981029810299,0.0,0.0,0.0033875338753387536,0.006436314363143632
implementation_smell,Long Method,__commit__,2952,2952,0.0,-0.31910569105691056,0.0,0.0,0.0040650406504065045,0.01659891598915989
implementation_smell,Long Parameter List,__commit__,2952,2952,0.0,-0.40853658536585363,0.0,0.0,0.007113821138211382,0.04708672086720867
implementation_smell,Long Statement,__commit__,2952,2952,0.0,-13.67039295392954,0.0,0.0,0.07994579945799458,0.2184959349593496
implementation_smell,Magic Number,__commit__,2952,2952,0.0,-89.51626016260163,0.0,1.0,0.06233062330623306,0.26422764227642276
implementation_smell,Missing default,__commit__,2952,2952,0.0,-0.12669376693766937,0.0,0.0,0.0033875338753387536,0.01084010840108401
method_metric,CC,Add Method Annotation,1144,241,0.0,-0.006118881118881119,0.0,0.0,0.022727272727272728,0.013111888111888112
method_metric,CC,Add Method Modifier,58,28,0.0,0.20689655172413793,0.0,0.0,0.0,0.1724137931034483
method_metric,CC,Add Parameter,1394,925,0.0,0.2855093256814921,0.0,0.0,0.010043041606886656,0.17431850789096126
method_metric,CC,Add Parameter Annotation,358,73,0.0,0.019553072625698324,0.0,0.0,0.00558659217877095,0.019553072625698324
