metric_category,metric_name,is_self_affirmed,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Broken Hierarchy,False,695,695,0.0,0.0028776978417266188,0.0,0.0,0.004316546762589928,0.008633093525179856
design_smell,Broken Hierarchy,True,1404,1404,0.0,-0.7663817663817664,0.0,0.0,0.004985754985754986,0.010683760683760684
design_smell,Broken Modularization,False,695,695,0.0,-0.0057553956834532375,0.0,0.0,0.0028776978417266188,0.0057553956834532375
design_smell,Broken Modularization,True,1404,1404,0.0,-0.049145299145299144,0.0,0.0,0.004985754985754986,0.009259259259259259
design_smell,Cyclic Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,True,1404,1404,0.0,-0.002136752136752137,0.0,0.0,0.0007122507122507123,0.0
design_smell,Cyclic-Dependent Modularization,False,695,695,0.0,0.007194244604316547,0.0,0.0,0.0,0.004316546762589928
design_smell,Cyclic-Dependent Modularization,True,1404,1404,0.0,-0.35327635327635326,0.0,0.0,0.00641025641025641,0.023504273504273504
design_smell,Deep Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,True,1404,1404,0.0,-0.011396011396011397,0.0,0.0,0.0014245014245014246,0.0
design_smell,Deficient Encapsulation,False,695,695,0.0,0.007194244604316547,0.0,0.0,0.004316546762589928,0.008633093525179856
design_smell,Deficient Encapsulation,True,1404,1404,0.0,-0.8867521367521367,0.0,0.0,0.004985754985754986,0.019943019943019943
design_smell,Hub-like Modularization,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,True,1404,1404,0.0,-0.014957264957264958,0.0,0.0,0.002136752136752137,0.0
design_smell,Imperative Abstraction,False,695,695,0.0,0.0028776978417266188,0.0,0.0,0.004316546762589928,0.007194244604316547
design_smell,Imperative Abstraction,True,1404,1404,0.0,-0.00641025641025641,0.0,0.0,0.002849002849002849,0.004273504273504274
design_smell,Insufficient Modularization,False,695,695,0.0,0.004316546762589928,0.0,0.0,0.0057553956834532375,0.010071942446043165
design_smell,Insufficient Modularization,True,1404,1404,0.0,-0.43945868945868943,0.0,0.0,0.0035612535612535613,0.021367521367521368
design_smell,Missing Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0014388489208633094,0.0014388489208633094
design_smell,Missing Hierarchy,True,1404,1404,0.0,-0.002136752136752137,0.0,0.0,0.0014245014245014246,0.0014245014245014246
design_smell,Multifaceted Abstraction,False,695,695,0.0,0.0028776978417266188,0.0,0.0,0.0,0.0014388489208633094
design_smell,Multifaceted Abstraction,True,1404,1404,0.0,-0.005698005698005698,0.0,0.0,0.002849002849002849,0.0014245014245014246
design_smell,Multipath Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,True,1404,1404,0.0,-0.004985754985754986,0.0,0.0,0.0014245014245014246,0.0014245014245014246
design_smell,Rebellious Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,True,1404,1404,0.0,-0.03561253561253561,0.0,0.0,0.002136752136752137,0.0007122507122507123
