sha,title,reason,type,confidence,repo_id,repo_name,full_name
2dc53b4c82247ea9a55c4cadfbfa1de20210c539,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances the understandability and readability of the codebase.",readability,8,3729629.0,dotCMS/core,dotCMS/core
f21358395baf8adb9fc1355e4f526295b5e6be85,Migrate concurrency tests to JUnit 5,"The commit focuses on refactoring tests to migrate from JUnit4 to JUnit5, which primarily improves the test framework and structure, making the tests easier to run and maintain. This addresses difficulties in testing without refactoring, improving testability.",testability,8,920476445.0,ArneDeutsch/operaton,ArneDeutsch/operaton
b55504d4867589044e018173932a5a2e8dc8021d,feat: add Swagger annotations to Batch 4 - System Administration,"The commit primarily involves adding and modifying annotations (Swagger annotations) to improve the documentation and clarity of the code, which directly enhances the readability and understandability of the codebase.",readability,8,3729629.0,dotCMS/core,dotCMS/core
3f6d40fe8eb327e4ba2e500fb3ac9578857301ea,Converting engine-rest test to JUnit 5.,"The commit focuses on converting tests to JUnit 5 and creating a new TestContainerExtension to replace the old TestContainerRule, which indicates improving the test structure to facilitate easier and more effective testing. This primarily addresses difficulties in testing the code without refactoring, improving testability.",testability,9,873235545.0,operaton/operaton,operaton/operaton
6947d76291bbc4057625c367785fc2abf4945a79,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances the readability and understandability of the codebase.",readability,8,3729629.0,dotCMS/core,dotCMS/core
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,feat: add Swagger annotations to Batch 7 - Modern APIs & Specialized Services,"The commit primarily involves adding and modifying annotations (such as Swagger annotations) to improve the documentation and clarity of the API code, which enhances the understandability and readability of the codebase.",readability,8,3729629.0,dotCMS/core,dotCMS/core
d921cf52c70d6f3403f1555855aa001267fe2b72,Improve Java compiler with data class inference,"The commit involves extensive type changes, method inlining, and variable renaming which are typical refactorings aimed at improving code structure and reducing fragility, thereby enhancing maintainability rather than focusing on readability, duplication, or performance specifically.",maintainability,8,985853139.0,mochilang/mochi,mochilang/mochi
976be40a7576dcb073c052b904165ae45ad58cd3,feat: add Swagger annotations to Batch 6 - Rules Engine & Business Logic,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances the readability and understandability of the codebase.",readability,8,3729629.0,dotCMS/core,dotCMS/core
ce3bed24d1567baab41dafcb4a415c1af06f657b,feat: add Swagger annotations to Batch 4 - System Administration,"The commit primarily involves adding and modifying Swagger annotations to improve the documentation and clarity of the code, which enhances the understandability and readability of the codebase.",readability,8,3729629.0,dotCMS/core,dotCMS/core
0963e8d016e70cbdbe8120f603688205dc14f5e5,Fix test dependencies by updating to Java 17 and manually implementing Lombok methods,"The commit primarily addresses issues caused by dependencies, specifically removing Lombok and other problematic dependencies to resolve test execution problems and ensure compatibility with Java 17. This indicates the main motivation is to fix unwanted dependencies.",dependency,9,1020350895.0,alex-baker-cdm/library_demo,alex-baker-cdm/library_demo
