repo_id,repo_name,repo_stars,repo_forks,repo_language
667814.0,4ndrew/simplejcp,2,0,Java
1051476.0,plantuml/plantuml,11894,1070,Java
1545071.0,JetBrains/psiviewer,199,42,Java
2327138.0,EduMIPS64/edumips64,168,59,Java
2988101.0,nuxeo/nuxeo,670,388,Java
3215816.0,myungjoo/Toy-Applications,1,0,Kotlin
3368190.0,getsentry/sentry-java,1236,455,Kotlin
3729629.0,dotCMS/core,912,477,Java
4038949.0,traccar/traccar,6182,2867,Java
5414791.0,la3lma/rmatch,2,0,Java
5792252.0,freeplane/freeplane,3306,417,Java
6844508.0,theandyl/xlwrap,2,3,Java
7645949.0,jamesj999/sonic-engine,6,1,Java
7808294.0,8b1t/SplashScreen,0,0,Java
7812870.0,StevenRS11/GreyGooMod,3,3,Java
8161461.0,ikarus23/MifareClassicTool,5261,949,Java
8330247.0,yinan-wu/example,0,0,C
9483965.0,James137137/FactionChat,3,7,Java
9593776.0,bekoeppel/droidplane,51,13,Java
9932676.0,aegif/NemakiWare,54,22,Java
10308563.0,AddstarMC/MarketSearch,2,0,Java
10544346.0,openforis/collect-earth,49,18,Java
11676326.0,lovedownload/bowling_calc,0,0,Java
11870341.0,iBurnApp/iBurn-Android,35,11,Java
12286186.0,AddstarMC/TrueHardcore,0,0,Java
12594924.0,jdereg/json-io,337,114,Java
12600809.0,Saf0/EnigmaSimulator,1,0,Java
12670630.0,jdereg/java-util,428,110,Java
12740434.0,taiogebule4/android-calculatorpp,0,0,Java
12974177.0,OpenHFT/Java-Thread-Affinity,1854,372,Java
13050340.0,OpenHFT/Java-Runtime-Compiler,690,148,Java
13772827.0,AddstarMC/Pandora,0,3,Java
14559407.0,Sylistron/dasein-persist,1,0,Java
15520672.0,beothorn/webGrude,28,4,Java
16089705.0,ipictorial/SlidingMenu,0,0,Java
16682826.0,koduki/javaee-example,1,0,Java
16957262.0,ccoders01/ZoomableImageView,0,0,Java
16986970.0,abprime/HelloWorld,0,0,C
17404938.0,domaframework/doma,480,71,Java
17405120.0,domaframework/simple-examples,2,4,Java
17730936.0,AddstarMC/PlayerLogger,0,1,Java
