metric,duplication,maintainability,repurpose_reuse,legacy_code,testability,dependency,readability,hard_to_debug,logical_mismatch,slow_performance
Implementation Smell – Long Parameter List*,0.0,1.08055009823182,0.0,0.0,1.03092783505154,3.38983050847457,0.63868613138686,0.0,0.0,0.0
Implementation Smell – Magic Number*,14.28571428571428,6.7779960707269105,3.3707865168539297,4.25531914893617,8.24742268041237,6.77966101694915,6.478102189781019,0.0,4.51467268623024,8.888888888888879
Design Smell – Broken Hierarchy*,0.0,0.5893909626718999,0.0,2.1276595744680797,1.03092783505154,0.0,0.18248175182481002,0.0,0.22573363431151,0.0
Design Smell – Unutilized Abstraction*,9.52380952380952,8.15324165029469,7.86516853932584,12.76595744680851,7.2164948453608195,6.77966101694915,3.37591240875912,5.4054054054054,1.3544018058690699,0.0
Class-Level Metric – Depth of Inheritance Tree*,0.0,0.63291139240506,0.0,3.1531531531531503,0.0,0.0,0.58411214953271,0.0,0.0,0.0
Class-Level Metric – Fan-Out*,6.25,5.15370705244122,8.75,3.6036036036036,6.628242074927949,1.64609053497942,1.86915887850467,2.32558139534883,1.23456790123456,0.0
Class-Level Metric – Fan-In*,12.5,4.1591320072332705,11.25,3.6036036036036,0.28818443804034,2.46913580246913,1.86915887850467,0.0,2.46913580246913,0.0
Class-Level Metric – Number of Methods*,31.25,7.20313441832429,15.0,5.4054054054054,4.89913544668587,3.29218106995884,7.00934579439252,0.0,3.7037037037037,0.0
Class-Level Metric – Weighted Methods per Class*,31.25,9.76491862567811,17.5,6.3063063063063005,4.89913544668587,2.88065843621399,6.65887850467289,0.0,3.7037037037037,0.0
Class-Level Metric – Lines of Code*,31.25,13.3212778782399,23.75,8.55855855855855,17.57925072046109,2.88065843621399,14.485981308411212,0.0,6.1728395061728305,0.0
Method-Level Metric – Parameter Count*,7.08333333333333,10.255816645445071,0.95238095238095,5.80357142857142,3.00120048019207,12.5,2.42624758753791,6.31578947368421,5.57553956834532,6.14035087719298
Method-Level Metric – Cyclomatic Complexity*,25.0,17.75668480148165,4.76190476190476,4.01785714285714,1.20048019207683,5.625,4.6594982078853,12.63157894736842,9.53237410071942,6.5789473684210495
Method-Level Metric – Lines of Code*,36.66666666666666,30.18867924528302,7.85714285714285,13.83928571428571,13.685474189675869,15.0,8.6021505376344,27.368421052631582,14.748201438848922,9.649122807017541
