metric,duplication,maintainability,repurpose_reuse,dependency,testability,legacy_code,hard_to_debug,logical_mismatch,readability,slow_performance
Implementation Smell – Long Parameter List*,0.0,0.9280742459396699,0.0,5.4054054054054,1.75438596491228,0.0,0.0,0.0,0.37174721189591,0.0
Implementation Smell – Magic Number*,25.0,5.80046403712296,0.0,10.81081081081081,5.26315789473684,4.0,0.0,5.19480519480519,4.275092936802969,9.52380952380952
Design Smell – Unutilized Abstraction*,25.0,7.65661252900232,6.06060606060606,8.1081081081081,3.50877192982456,16.0,4.347826086956521,1.7316017316017298,3.15985130111524,0.0
Class-Level Metric – Depth of Inheritance Tree*,0.0,1.0547132498351999,0.0,0.0,0.0,0.0,0.0,0.0,1.16959064327485,0.0
Class-Level Metric – Fan-Out*,8.695652173913041,5.6690837178642,12.0,1.92307692307692,7.55813953488372,3.09278350515463,3.44827586206896,0.0,2.63157894736842,0.0
Class-Level Metric – Fan-In*,17.391304347826082,5.0098879367172,14.000000000000002,3.2051282051282,0.5813953488372,0.0,0.0,4.08163265306122,1.46198830409356,0.0
Class-Level Metric – Number of Methods*,39.130434782608695,7.251153592617,10.0,4.48717948717948,4.06976744186046,4.12371134020618,0.0,4.08163265306122,4.97076023391812,0.0
Class-Level Metric – Weighted Methods per Class*,39.130434782608695,9.1628213579433,12.0,3.84615384615384,4.06976744186046,5.1546391752577305,0.0,4.08163265306122,4.6783625730994105,0.0
Class-Level Metric – Lines of Code*,39.130434782608695,12.59063941990771,18.0,3.2051282051282,21.51162790697674,7.2164948453608195,0.0,4.08163265306122,7.01754385964912,0.0
Method-Level Metric – Parameter Count*,5.69948186528497,11.51450053705692,1.50753768844221,13.33333333333333,2.72572402044293,2.4793388429752,5.55555555555555,4.51127819548872,3.35339638865004,5.2238805970149205
Method-Level Metric – Cyclomatic Complexity*,26.94300518134715,21.20300751879699,7.035175879396981,5.71428571428571,0.8517887563884099,3.30578512396694,12.5,12.03007518796992,5.8469475494411,5.2238805970149205
Method-Level Metric – Lines of Code*,40.41450777202072,34.02792696025778,10.552763819095471,13.33333333333333,10.90289608177172,14.049586776859499,31.944444444444443,15.78947368421052,10.834049871023211,7.4626865671641704
