metric_category,metric_name,median_delta,improvement_rate,unchanged_rate,rank_biserial_effect,wilcoxon_p_value_fdr
implementation_smell,Long Parameter List,0.0,0.0071138211382113,0.9457994579945801,-0.7375,2.0889999547715867e-13
implementation_smell,Complex Method,0.0,0.0149051490514905,0.9044715447154472,-0.6879432624113475,1.0530492283524034e-23
implementation_smell,Magic Number,0.0,0.062330623306233,0.6734417344173442,-0.6182572614107884,3.5967657132261427e-63
implementation_smell,Long Method,0.0,0.0040650406504065,0.9793360433604337,-0.6065573770491803,0.0002902658249409
implementation_smell,Missing default,0.0,0.0033875338753387,0.9857723577235773,-0.5238095238095238,0.032316724290676
implementation_smell,Complex Conditional,0.0,0.0186314363143631,0.9237804878048781,-0.5111111111111111,3.862100193828256e-10
implementation_smell,Empty catch clause,0.0,0.0105013550135501,0.9579945799457995,-0.5,7.399053966856372e-05
implementation_smell,Long Statement,0.0,0.0799457994579945,0.7015582655826559,-0.4642451759364359,3.3344862649317063e-38
design_smell,Cyclic-Dependent Modularization,0.0,0.0037262872628726,0.9776422764227644,-0.6666666666666666,3.306512077021321e-05
design_smell,Insufficient Modularization,0.0,0.0044037940379403,0.9803523035230354,-0.5517241379310345,0.0013113146947966
design_smell,Deficient Encapsulation,0.0,0.0050813008130081,0.978658536585366,-0.5238095238095238,0.0021315079138
design_smell,Broken Hierarchy,0.0,0.0037262872628726,0.9864498644986451,-0.45,0.043938776659909
design_smell,Unutilized Abstraction,0.0,0.0521680216802168,0.8140243902439025,-0.4389799635701275,7.004575113703361e-19
type_metric,DIT,0.0,0.0062511839363515,0.973100966092063,-0.5352112676056338,9.296517671139902e-09
type_metric,FANOUT,0.0,0.0443265770032203,0.869103996969123,-0.3227206946454414,5.854599087155559e-09
type_metric,FANIN,0.0,0.0348550861905663,0.9014964955483995,-0.2923076923076923,3.193809216022908e-08
type_metric,NOM,0.0,0.0683841636673612,0.8219359727221065,-0.2319148936170212,6.121463150682717e-08
type_metric,WMC,0.0,0.0844856980488728,0.796552377344194,-0.1694599627560521,0.0013113146947966
type_metric,LOC,0.0,0.1301382837658647,0.6931236976700133,-0.1518518518518518,0.0013113146947966
method_metric,PC,0.0,0.0734922114232459,0.7609506057781921,-0.3851294903926482,1.5496797114497745e-85
method_metric,CC,0.0,0.1258820396751431,0.7863799760351484,0.1785602991586164,5.12779362654299e-41
method_metric,LOC,0.0,0.2223405671681533,0.5667021701504461,0.0262713166385005,1.0756840564026881e-45
