refactoring_type,non_sar_instances,sar_instances,total_instances,sar_percentage_of_type,non_sar_percentage_of_type,sar_group_percentage,non_sar_group_percentage
Add Method Annotation,2251,292,2543,11.482500983090837,88.51749901690916,4.09709555212572,27.04228736184527
Change Variable Type,800,843,1643,51.308581862446744,48.691418137553256,11.828258734390348,9.61076405574243
Add Parameter Annotation,1417,27,1444,1.8698060941828254,98.13019390581718,0.37884102708011785,17.02306583373378
Modify Method Annotation,1085,61,1146,5.322862129144852,94.67713787085515,0.855900098218044,13.034598750600674
Rename Parameter,182,742,924,80.3030303030303,19.696969696969695,10.411112670127684,2.186448822681403
Rename Variable,184,607,791,76.73830594184577,23.261694058154237,8.516907534727094,2.2104757328207594
Change Attribute Type,203,373,576,64.75694444444444,35.24305555555556,5.233618633366072,2.438731379144642
Move And Inline Method,10,511,521,98.0806142034549,1.9193857965451053,7.169917216220008,0.1201345506967804
Change Parameter Type,324,180,504,35.714285714285715,64.28571428571429,2.5256068472007858,3.8923594425756844
Rename Attribute,17,428,445,96.17977528089887,3.8202247191011236,6.005331836677423,0.20422873618452667
Change Method Access Modifier,116,271,387,70.02583979328165,29.97416020671835,3.802441419952294,1.3935607880826526
Change Return Type,214,160,374,42.780748663101605,57.21925133689839,2.244983864178476,2.5708793849111005
Add Class Annotation,248,76,324,23.456790123456788,76.5432098765432,1.0663673354847762,2.9793368572801535
Rename Method,56,232,288,80.55555555555556,19.444444444444446,3.2552266030587904,0.6727534839019702
Add Attribute Annotation,27,261,288,90.625,9.375,3.6621299284411393,0.32436328688130706
Remove Method Annotation,91,177,268,66.04477611940298,33.95522388059701,2.4835133997474395,1.0932244113407015
Add Attribute Modifier,58,194,252,76.98412698412699,23.015873015873016,2.722042935316402,0.6967803940413263
Extract Variable,78,174,252,69.04761904761905,30.952380952380953,2.4414199522940927,0.9370494954348871
Rename Class,73,154,227,67.84140969162996,32.158590308370044,2.160796969271783,0.8769822200864968
Extract Method,58,151,209,72.24880382775119,27.751196172248804,2.118703521818437,0.6967803940413263
Remove Attribute Annotation,6,164,170,96.47058823529412,3.5294117647058822,2.301108460782938,0.07208073041806823
Add Parameter,58,94,152,61.8421052631579,38.15789473684211,1.3189280202048548,0.6967803940413263
Modify Class Annotation,129,23,152,15.131578947368421,84.86842105263158,0.32271643047565596,1.549735703988467
Move Class,91,59,150,39.33333333333333,60.66666666666667,0.8278377999158131,1.0932244113407015
Change Attribute Access Modifier,16,131,147,89.1156462585034,10.884353741496598,1.8380805387961274,0.19221528111484865
Move Method,89,48,137,35.03649635036496,64.96350364963503,0.6734951592535429,1.0691975012013455
Change Class Access Modifier,9,81,90,90.0,10.0,1.1365230812403535,0.10812109562710236
Replace Attribute With Variable,87,0,87,0.0,100.0,0.0,1.0451705910619895
Extract And Move Method,18,47,65,72.3076923076923,27.692307692307693,0.6594640101024274,0.2162421912542047
Remove Parameter,31,31,62,50.0,50.0,0.43496562368457975,0.3724171071600192
Inline Variable,23,38,61,62.295081967213115,37.704918032786885,0.5331836677423881,0.2763094666025949
Remove Thrown Exception Type,47,4,51,7.8431372549019605,92.15686274509804,0.0561245966044619,0.5646323882748678
Try With Resources,2,49,51,96.07843137254902,3.9215686274509802,0.6875263084046583,0.02402691013935608
Change Type Declaration Kind,6,43,49,87.75510204081633,12.244897959183673,0.6033394134979655,0.07208073041806823
Remove Class Annotation,27,21,48,43.75,56.25,0.294654132173425,0.32436328688130706
Replace Variable With Attribute,8,30,38,78.94736842105263,21.052631578947366,0.42093447453346433,0.09610764055742432
Move Attribute,6,29,35,82.85714285714286,17.142857142857142,0.4069033253823488,0.07208073041806823
Remove Attribute Modifier,12,23,35,65.71428571428571,34.285714285714285,0.32271643047565596,0.14416146083613646
Inline Method,8,26,34,76.47058823529412,23.52941176470588,0.3648098779290024,0.09610764055742432
Merge Conditional,10,19,29,65.51724137931035,34.48275862068966,0.26659183387119406,0.1201345506967804
