commit_sha,refactoring_type,instance_count,is_self_affirmed
007bd77cb0354119d6b3ef2d945f546bc87e4c27,Modify Method Annotation,8,True
007bd77cb0354119d6b3ef2d945f546bc87e4c27,Rename Attribute,1,True
007bd77cb0354119d6b3ef2d945f546bc87e4c27,Rename Parameter,1,True
00a0b88fc0ce494fe41ddd2d324765541f600b2c,Extract Variable,1,True
00c2580162a7758312577c2846e8fd3d227c0a00,Invert Condition,2,True
01cda23c3d4dfc67687c97518cffa24886bd9158,Add Parameter,2,True
0207905ccea44ad0abfa791749611fc7927578df,Add Parameter,1,True
0207905ccea44ad0abfa791749611fc7927578df,Modify Class Annotation,1,True
0207905ccea44ad0abfa791749611fc7927578df,Modify Method Annotation,1,True
026e0baa0b67e44cc2b8167d895d3991de77663c,Change Parameter Type,1,True
026e0baa0b67e44cc2b8167d895d3991de77663c,Change Variable Type,4,True
026e0baa0b67e44cc2b8167d895d3991de77663c,Remove Method Annotation,2,True
026e0baa0b67e44cc2b8167d895d3991de77663c,Rename Parameter,1,True
02f8ea54f0fb8efd1267865ccd0eed00446c760a,Extract Variable,1,True
0318b8f7439a575711c389079d58d53cf8d7d64a,Extract Variable,1,True
032263c13a3ae6136c13e38dd158ec51573b1ecb,Change Attribute Type,5,True
032263c13a3ae6136c13e38dd158ec51573b1ecb,Change Parameter Type,3,True
032263c13a3ae6136c13e38dd158ec51573b1ecb,Change Return Type,2,True
032263c13a3ae6136c13e38dd158ec51573b1ecb,Change Variable Type,39,True
032263c13a3ae6136c13e38dd158ec51573b1ecb,Rename Class,43,True
03fc488be99d332af7460023e3339a7270d974c6,Add Class Annotation,2,True
03fc488be99d332af7460023e3339a7270d974c6,Modify Method Annotation,2,True
03fc488be99d332af7460023e3339a7270d974c6,Rename Attribute,2,True
03fc488be99d332af7460023e3339a7270d974c6,Rename Method,2,True
03fc488be99d332af7460023e3339a7270d974c6,Rename Parameter,2,True
046b559c8551a15c143f76ca14756a003b5be810,Add Class Annotation,1,True
048714e11723c39816b0d183f70e538c85d73cc4,Change Attribute Access Modifier,1,True
048714e11723c39816b0d183f70e538c85d73cc4,Extract Method,2,True
04eb96b1cb251a33168fb78936b57e9167701722,Add Parameter,1,True
04eb96b1cb251a33168fb78936b57e9167701722,Rename Parameter,1,True
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,Add Class Modifier,1,True
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,Add Parameter,1,True
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,Change Attribute Type,1,True
04fb4648f9a1f40cfff4ddeb66b47d91a36d9dd2,Extract Variable,2,True
05330118f39f92759de9dfc401a9dab7afa72494,Extract Method,1,True
05330118f39f92759de9dfc401a9dab7afa72494,Replace Variable With Attribute,1,True
054074fc3385fb373ea5801db81ce1719dacef43,Change Attribute Access Modifier,1,True
054074fc3385fb373ea5801db81ce1719dacef43,Encapsulate Attribute,1,True
054074fc3385fb373ea5801db81ce1719dacef43,Move Class,1,True
054074fc3385fb373ea5801db81ce1719dacef43,Move Code,1,True
054074fc3385fb373ea5801db81ce1719dacef43,Remove Attribute Modifier,1,True
054074fc3385fb373ea5801db81ce1719dacef43,Rename Attribute,1,True
05c30328ddb7529cfcdd92839a75323d3f66e506,Change Variable Type,1,True
05c30328ddb7529cfcdd92839a75323d3f66e506,Rename Variable,1,True
05c89536f7a84fe73e898a33096d747631fe7826,Rename Attribute,10,True
05c89536f7a84fe73e898a33096d747631fe7826,Rename Parameter,13,True
05c89536f7a84fe73e898a33096d747631fe7826,Rename Variable,10,True
0607fed10c0d5e7b36f5bb58a40000f0a0dadfda,Change Return Type,1,True
0607fed10c0d5e7b36f5bb58a40000f0a0dadfda,Change Variable Type,6,True
0607fed10c0d5e7b36f5bb58a40000f0a0dadfda,Extract Method,11,True
0607fed10c0d5e7b36f5bb58a40000f0a0dadfda,Extract Variable,2,True
071ae95bca8921291547bc68396895c2ebc917f4,Add Class Annotation,1,True
071ae95bca8921291547bc68396895c2ebc917f4,Add Method Annotation,1,True
07d3da40d17cd7ea92db2916f7e19a1a2febac72,Extract Variable,2,True
0814464e1629628889aa242e7fe0ad925c12c4d7,Add Class Annotation,1,True
0814464e1629628889aa242e7fe0ad925c12c4d7,Change Attribute Type,1,True
0814464e1629628889aa242e7fe0ad925c12c4d7,Modify Class Annotation,1,True
0814464e1629628889aa242e7fe0ad925c12c4d7,Move And Rename Class,2,True
0814464e1629628889aa242e7fe0ad925c12c4d7,Remove Parameter,1,True
0814464e1629628889aa242e7fe0ad925c12c4d7,Rename Attribute,1,True
0882a72f4f22edabf8ecb912006a4e4751b2af26,Change Return Type,1,True
0939fb70e5b32fa26f6132162bc70a48da772996,Rename Variable,1,True
0a08da98fe97b4722834bbf9663f94e68274d415,Add Thrown Exception Type,1,True
0a08da98fe97b4722834bbf9663f94e68274d415,Change Variable Type,2,True
0a25418d62f121b202a98aac9dcc6efe14c72efe,Add Class Annotation,1,True
0a5867b9d35dbb7de981f1478b7553468ce07fa9,Rename Method,8,True
0ad5171f25e62c95be4f584a023badff43df508a,Change Attribute Type,1,True
0ad5171f25e62c95be4f584a023badff43df508a,Rename Class,1,True
0af6b79fcade36d986261f84ad28ad2634589eeb,Rename Method,1,True
0b3787d6adc3c72a708bdad7b766a61e6323b2bb,Change Attribute Type,5,True
0b3787d6adc3c72a708bdad7b766a61e6323b2bb,Change Parameter Type,3,True
0b3787d6adc3c72a708bdad7b766a61e6323b2bb,Change Return Type,2,True
0b3787d6adc3c72a708bdad7b766a61e6323b2bb,Change Variable Type,39,True
0b3787d6adc3c72a708bdad7b766a61e6323b2bb,Rename Class,44,True
0b7540a1dd2ce48be55002e4dbf10bd986c4c011,Change Parameter Type,1,True
0b7540a1dd2ce48be55002e4dbf10bd986c4c011,Change Return Type,1,True
0b7540a1dd2ce48be55002e4dbf10bd986c4c011,Change Variable Type,2,True
0bbd7109ecd924f85b2ef59b1e397c149a62f1a8,Rename Variable,1,True
0c0cd6d658b3dce39de2e54b05a4a389dc980bfd,Rename Method,1,True
0c11ab52a4f2de561361695a979314b6b34000f3,Add Method Modifier,1,True
0c11ab52a4f2de561361695a979314b6b34000f3,Rename Method,1,True
0c1d0e91e95828c3db54225a270c16c19faa2d6d,Remove Class Annotation,1,True
0c1e29bd21b13c2cc5dff113c48981595b0095b2,Rename Attribute,29,True
0c1e29bd21b13c2cc5dff113c48981595b0095b2,Rename Parameter,5,True
0c1e29bd21b13c2cc5dff113c48981595b0095b2,Rename Variable,2,True
0c39d07f1d847d17cf924cf7a8b41c9c2009eb0c,Inline Variable,1,True
0c43d77ed315d46d34eb43add654adf8977148da,Change Attribute Type,1,True
0c9c7cf77038a0031f84a7cb74cd83c7a11f5d98,Rename Parameter,16,True
0d27f23ebf2a3fb927fb2df8dd02bb6de008b3b7,Rename Attribute,1,True
0d27f23ebf2a3fb927fb2df8dd02bb6de008b3b7,Rename Method,6,True
0d27f23ebf2a3fb927fb2df8dd02bb6de008b3b7,Rename Parameter,7,True
0d27f23ebf2a3fb927fb2df8dd02bb6de008b3b7,Rename Variable,32,True
0d2f17c9a7eb90334ec57a248fc26ed6ea7eb5ef,Extract Variable,1,True
0d2f17c9a7eb90334ec57a248fc26ed6ea7eb5ef,Inline Method,1,True
0dd38965d624b3dc4adb8004651124fc6143991b,Change Class Access Modifier,13,True
0dd38965d624b3dc4adb8004651124fc6143991b,Change Method Access Modifier,18,True
0e1a6438d8df674f6d419ad106f92f744a2cdbbb,Change Variable Type,1,True
0e1a6438d8df674f6d419ad106f92f744a2cdbbb,Rename Variable,1,True
0e1f8ccd3c2f37cbac1e2a75824333fd0322bd1d,Rename Method,8,True
0e1f8ccd3c2f37cbac1e2a75824333fd0322bd1d,Rename Parameter,15,True
0e96be8e11654833c702cf0b50cfced1f21cd379,Extract Variable,1,True
0ea6f3032cb90cbb0198479ce2b8fe39fb912900,Change Variable Type,2,True
0ec3bb4974520b2c8f76b4b01ea233b981762273,Add Class Annotation,1,True
0ec3bb4974520b2c8f76b4b01ea233b981762273,Remove Attribute Modifier,2,True
0ec3bb4974520b2c8f76b4b01ea233b981762273,Remove Class Annotation,1,True
0f522dfadda82fcf96527a8c8ae1eb183334cfeb,Add Method Modifier,4,True
0f522dfadda82fcf96527a8c8ae1eb183334cfeb,Change Variable Type,2,True
0f522dfadda82fcf96527a8c8ae1eb183334cfeb,Extract Variable,1,True
0f6adce24620499d9427d175c4a2473496afb73b,Change Variable Type,1,True
0f6adce24620499d9427d175c4a2473496afb73b,Rename Method,2,True
10064a2de8e161a653e664903e526964f45017f2,Remove Class Annotation,1,True
1087e91d25782c674fe20341c02966e5030e420a,Extract Variable,1,True
1087e91d25782c674fe20341c02966e5030e420a,Split Conditional,1,True
11042ea1d8f7e152f5265fff6be2bb72fcbe2a5d,Add Method Annotation,3,True
117a9f7d7e2429f78e278b423428a46710fe62af,Add Attribute Annotation,23,True
117a9f7d7e2429f78e278b423428a46710fe62af,Add Attribute Modifier,11,True
117a9f7d7e2429f78e278b423428a46710fe62af,Add Method Annotation,8,True
117a9f7d7e2429f78e278b423428a46710fe62af,Add Parameter,2,True
117a9f7d7e2429f78e278b423428a46710fe62af,Change Attribute Access Modifier,28,True
117a9f7d7e2429f78e278b423428a46710fe62af,Change Attribute Type,23,True
117a9f7d7e2429f78e278b423428a46710fe62af,Change Class Access Modifier,11,True
117a9f7d7e2429f78e278b423428a46710fe62af,Change Method Access Modifier,115,True
117a9f7d7e2429f78e278b423428a46710fe62af,Change Return Type,4,True
117a9f7d7e2429f78e278b423428a46710fe62af,Remove Attribute Annotation,23,True
117a9f7d7e2429f78e278b423428a46710fe62af,Remove Attribute Modifier,11,True
117a9f7d7e2429f78e278b423428a46710fe62af,Remove Method Annotation,8,True
117a9f7d7e2429f78e278b423428a46710fe62af,Rename Class,1,True
117a9f7d7e2429f78e278b423428a46710fe62af,Rename Method,2,True
1185b4ebaeac1569d6c254cb4d45095a31c49550,Add Parameter,1,True
1185b4ebaeac1569d6c254cb4d45095a31c49550,Extract Variable,3,True
1185b4ebaeac1569d6c254cb4d45095a31c49550,Rename Variable,2,True
1185b4ebaeac1569d6c254cb4d45095a31c49550,Replace Conditional With Ternary,2,True
11b16ebaafeb53d5ad2f7686c991cc01be7bfce3,Add Parameter,1,True
11b16ebaafeb53d5ad2f7686c991cc01be7bfce3,Change Attribute Type,1,True
11b16ebaafeb53d5ad2f7686c991cc01be7bfce3,Localize Parameter,1,True
11b16ebaafeb53d5ad2f7686c991cc01be7bfce3,Move Code,1,True
11b16ebaafeb53d5ad2f7686c991cc01be7bfce3,Rename Attribute,1,True
1248afe23137fc85932405a05a4577d348817ff7,Extract Variable,1,True
1248afe23137fc85932405a05a4577d348817ff7,Rename Variable,1,True
1362724de33217f62e9fe674f9955e9afcdc3653,Rename Attribute,1,True
1362724de33217f62e9fe674f9955e9afcdc3653,Rename Method,15,True
1366676ac3d6136867e15cdd096b28fde45b4cb4,Rename Parameter,3,True
144d06b2f0ad9708c19b89112b6f05d38a9a83d6,Add Attribute Modifier,3,True
144d06b2f0ad9708c19b89112b6f05d38a9a83d6,Remove Attribute Annotation,3,True
148803a6e9ab52f19a2b5e8aa3c7a7751f519cdc,Change Attribute Type,2,True
148803a6e9ab52f19a2b5e8aa3c7a7751f519cdc,Rename Attribute,30,True
148803a6e9ab52f19a2b5e8aa3c7a7751f519cdc,Rename Class,2,True
148803a6e9ab52f19a2b5e8aa3c7a7751f519cdc,Rename Method,9,True
148803a6e9ab52f19a2b5e8aa3c7a7751f519cdc,Rename Parameter,10,True
1542bb02e6470657d547629acbef4ca323afb640,Parameterize Variable,1,True
1581949d09e03a4a67738baf2320c686bc34b5d3,Remove Parameter,2,True
15e714c72ad2f8bbd033780743ac62c1f023d12d,Rename Method,8,True
15f5a28f7cbe263f642b743038117b005b72d1b7,Extract Variable,1,True
161028be29b55f259df21253715c8834866f32ee,Move Class,3,True
162e34a9cd8ae6e8f3808c39e6d41cbd465b9dfd,Add Parameter,2,True
162e34a9cd8ae6e8f3808c39e6d41cbd465b9dfd,Change Method Access Modifier,1,True
162e34a9cd8ae6e8f3808c39e6d41cbd465b9dfd,Change Variable Type,2,True
1699f6c41f61d41a1c9fd8f9aa0a1d9b24b1e4a8,Rename Parameter,31,True
176d0afab92afdd3345a6c7368da19556b454c87,Pull Up Attribute,1,True
176d0afab92afdd3345a6c7368da19556b454c87,Pull Up Method,2,True
176d0afab92afdd3345a6c7368da19556b454c87,Replace Conditional With Ternary,2,True
1833ad063f432e461cbc6d8ef07fc2518b8df4d8,Add Parameter,1,True
1833ad063f432e461cbc6d8ef07fc2518b8df4d8,Remove Parameter,1,True
190867dc953abb8a42870ca1f346219120336598,Add Class Annotation,2,True
190867dc953abb8a42870ca1f346219120336598,Rename Method,1,True
1a0eda8832167c414d6270fea3b6df2ebc2228a9,Add Thrown Exception Type,3,True
1a0eda8832167c414d6270fea3b6df2ebc2228a9,Change Thrown Exception Type,3,True
1a0eda8832167c414d6270fea3b6df2ebc2228a9,Change Variable Type,1,True
1a0eda8832167c414d6270fea3b6df2ebc2228a9,Extract Method,1,True
1a0eda8832167c414d6270fea3b6df2ebc2228a9,Rename Variable,5,True
1a3da91a50cc66bbda1d2c50772d28d8fec71b0d,Add Parameter,2,True
1ccc2d3eedb9b725d4eb9b632c06a05d53b4849f,Try With Resources,1,True
1db67ee679e8477280549992a06950c81deacec8,Change Attribute Access Modifier,1,True
1db67ee679e8477280549992a06950c81deacec8,Change Attribute Type,1,True
1db67ee679e8477280549992a06950c81deacec8,Rename Attribute,132,True
1e31efcbb0a311cd82c81642a52b8ff2f9d7e9c2,Encapsulate Attribute,1,True
1e92efd475c4386ca04e44c50b98958306b16720,Change Method Access Modifier,1,True
1e92efd475c4386ca04e44c50b98958306b16720,Extract Class,1,True
1e92efd475c4386ca04e44c50b98958306b16720,Move Method,2,True
1e92efd475c4386ca04e44c50b98958306b16720,Replace Conditional With Ternary,1,True
1ea9c86e2234aec9adbbddc76ee8710fa2808793,Change Class Access Modifier,1,True
1f93750c441ab6e164b4a65059336fa56d3ee616,Remove Parameter,3,True
1fe8fdd936ef0f2e947569490a946c3f4260b806,Extract Method,1,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Add Method Annotation,4,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Add Method Modifier,2,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Add Parameter Annotation,9,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Change Attribute Type,3,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Change Method Access Modifier,2,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Change Parameter Type,5,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Change Return Type,5,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Change Variable Type,8,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Extract Method,4,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Extract Superclass,1,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Extract Variable,4,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Move And Rename Method,1,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Move Method,2,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Pull Up Attribute,2,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Pull Up Method,5,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Remove Parameter,1,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Rename Method,4,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Rename Parameter,5,True
20aa562b8d14fa22967f4846569af5fe2de7f564,Rename Variable,8,True
2122ff1c98a43f1cf581083275e4eb1981db2d11,Change Type Declaration Kind,1,True
216536bce72883a456b6a3e625ea0e4ac77ecdfd,Change Variable Type,1,True
216536bce72883a456b6a3e625ea0e4ac77ecdfd,Extract Variable,1,True
21ee9a557dda403c0f7cfd741c3cbda56f8780d1,Extract Method,1,True
21ee9a557dda403c0f7cfd741c3cbda56f8780d1,Extract Variable,1,True
21ee9a557dda403c0f7cfd741c3cbda56f8780d1,Rename Variable,1,True
22218e7a41cc1c754fc3f9b8c9c0a4ddbae21a08,Modify Class Annotation,1,True
2258e500f1cf6d55c913c57e314d61e848c5554a,Rename Variable,1,True
226e42f99eda245e4f139afe0846784c9c3bbbe7,Inline Variable,1,True
22df82824c4ca7bd034f168159219588ffb649c2,Add Parameter,1,True
22df82824c4ca7bd034f168159219588ffb649c2,Change Attribute Type,1,True
22df82824c4ca7bd034f168159219588ffb649c2,Change Parameter Type,2,True
22df82824c4ca7bd034f168159219588ffb649c2,Change Return Type,1,True
22df82824c4ca7bd034f168159219588ffb649c2,Rename Variable,2,True
22df82824c4ca7bd034f168159219588ffb649c2,Split Method,1,True
23db1a8975f38c225048328e1a221726811f066a,Add Class Modifier,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Change Attribute Type,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Change Parameter Type,4,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Change Return Type,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Extract Interface,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Extract Superclass,1,True
245d2391b216e2c03c60e8c3115948b8d918c1fe,Pull Up Method,2,True
24bbc6c03824bb888c545a68d098e331886c6fbe,Extract Variable,2,True
25c11518d89d5f79892517ca2b8501dd511cb970,Add Class Annotation,1,True
25c11518d89d5f79892517ca2b8501dd511cb970,Add Method Annotation,1,True
25c11518d89d5f79892517ca2b8501dd511cb970,Change Type Declaration Kind,1,True
25c11518d89d5f79892517ca2b8501dd511cb970,Extract Interface,1,True
25c11518d89d5f79892517ca2b8501dd511cb970,Rename Class,1,True
25fb365fefa37aec936725277ae31c2e66c07ecc,Extract Method,1,True
25fb365fefa37aec936725277ae31c2e66c07ecc,Move Class,1,True
25fb365fefa37aec936725277ae31c2e66c07ecc,Rename Variable,1,True
2605396ee9e70d3baf89ad99ca4f092950bb22f1,Add Class Annotation,1,True
2605396ee9e70d3baf89ad99ca4f092950bb22f1,Rename Method,1,True
260596708d957d067eb8d30e64c9aaffffe68b4e,Add Attribute Modifier,18,True
260596708d957d067eb8d30e64c9aaffffe68b4e,Change Type Declaration Kind,5,True
269b3ac8b5b20c44537f3f68301f5e67a6fd0c3a,Change Variable Type,4,True
269b3ac8b5b20c44537f3f68301f5e67a6fd0c3a,Remove Method Annotation,2,True
26f1cca376ea6b90fdcc83ac46403d4dbdba2795,Extract Method,1,True
26f1cca376ea6b90fdcc83ac46403d4dbdba2795,Extract Variable,1,True
26f1cca376ea6b90fdcc83ac46403d4dbdba2795,Inline Variable,10,True
2700b3efc7608e87c3d329d20f1b3545813bf18b,Change Return Type,1,True
2700b3efc7608e87c3d329d20f1b3545813bf18b,Rename Parameter,5,True
280f1cf65fbbf84684a96686a229a0e80980fc4f,Rename Parameter,3,True
28417eabdd8a256e53220af4c0e697cfea20644d,Modify Class Annotation,1,True
28417eabdd8a256e53220af4c0e697cfea20644d,Modify Method Annotation,2,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Change Attribute Type,68,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Change Parameter Type,8,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Change Return Type,18,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Change Variable Type,68,True
286233491de7faa2da27184956fb0bb6e1f0e7d5,Rename Class,4,True
28abeeee343304b3a9c850e3e95bf93bfe1a45bd,Add Method Annotation,1,True
28abeeee343304b3a9c850e3e95bf93bfe1a45bd,Change Attribute Type,1,True
