commit_sha,refactoring_type,instance_count,is_self_affirmed
00064d29676a180ebaf2b70333326f29717ecf2c,Add Thrown Exception Type,1,False
00075734bbfa4c4173a4236db30755eef0ccaee0,Extract Method,1,False
00091d733a4978f2b795b5ab9690f7af77d82ffe,Rename Attribute,3,False
00091d733a4978f2b795b5ab9690f7af77d82ffe,Rename Variable,2,False
000fe5f11b929473298fd0047b1df8d72ae4c1a7,Extract Method,3,False
000fe5f11b929473298fd0047b1df8d72ae4c1a7,Remove Attribute Modifier,1,False
001338699c0f8a8281d0d58786725579f83513a2,Add Method Annotation,6,False
001338699c0f8a8281d0d58786725579f83513a2,Remove Method Annotation,6,False
001b506c6310d7e92323807f74b7cc20c4729ae5,Extract Superclass,1,False
001bcf08c34fd8d61ff53cac354e9f8d74016e3f,Rename Method,2,False
0029e94c470ee61bfecaab03758f3e84a8a00d78,Add Method Annotation,1,False
0029e94c470ee61bfecaab03758f3e84a8a00d78,Remove Method Annotation,1,False
0029e94c470ee61bfecaab03758f3e84a8a00d78,Rename Method,1,False
0029e94c470ee61bfecaab03758f3e84a8a00d78,Rename Parameter,1,False
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,Add Class Annotation,1,False
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,Add Parameter,1,False
003ec013f1f503ba8d5fa59b32eb9caf9f10841a,Extract Variable,1,False
004355b9eb334af996f9855a8e96c1ed2f5c1071,Extract Method,40,True
004892ef2ec803c8917cd2f0df1ed354e8ada865,Extract Variable,1,False
00599300711acc3579aa0e5e36b0b1b041ac6cbd,Extract Variable,1,False
0067df362e22b4225bcb0fa8514389230406bea8,Add Parameter,3,False
007096a0bf4b949d6e35c8f983b4431de959ee7c,Move Source Folder,1,False
00788dbed21a780f6b152a1899ae2ae31d05d54c,Add Parameter Modifier,4,False
00788dbed21a780f6b152a1899ae2ae31d05d54c,Remove Thrown Exception Type,1,False
007bd77cb0354119d6b3ef2d945f546bc87e4c27,Modify Method Annotation,8,False
007bd77cb0354119d6b3ef2d945f546bc87e4c27,Rename Attribute,1,False
007bd77cb0354119d6b3ef2d945f546bc87e4c27,Rename Parameter,1,False
0081e51459120c35bf521e774a74c99bc20b1519,Add Parameter,3,False
0081e51459120c35bf521e774a74c99bc20b1519,Change Method Access Modifier,2,False
0081e51459120c35bf521e774a74c99bc20b1519,Change Return Type,2,False
0081e51459120c35bf521e774a74c99bc20b1519,Extract Variable,2,False
0081e51459120c35bf521e774a74c99bc20b1519,Remove Method Modifier,1,False
0081e51459120c35bf521e774a74c99bc20b1519,Rename Method,2,False
008599d6469589a2ffb73bd2dbc6de399693dce8,Add Parameter,1,False
00a0b88fc0ce494fe41ddd2d324765541f600b2c,Extract Variable,1,False
00b4badde385e6abec906ced0e38a9234f39f58c,Move Class,1,False
00b8b8fd015959233c3e3dabe9b51983838c0ef0,Change Variable Type,1,False
00c2580162a7758312577c2846e8fd3d227c0a00,Invert Condition,2,False
00d156d5928c2c397008b22556a4ef1e78ff7733,Encapsulate Attribute,1,False
00d3ebbad760e2f5e12377b71104377950003ad8,Add Class Annotation,1,False
00ea93e861f7d96b07c8af4189efe155bfe2c22b,Change Class Access Modifier,2,False
00ea93e861f7d96b07c8af4189efe155bfe2c22b,Modify Attribute Annotation,2,False
00f8d8273f03768f653a02fa135fd39cc5958b30,Change Attribute Type,7,False
00f8d8273f03768f653a02fa135fd39cc5958b30,Change Parameter Type,5,False
00f8d8273f03768f653a02fa135fd39cc5958b30,Modify Attribute Annotation,1,False
00f8d8273f03768f653a02fa135fd39cc5958b30,Remove Attribute Annotation,2,False
00fac32bbb9b766f9728f82fb60f453498a6fb25,Change Variable Type,1,False
00fac32bbb9b766f9728f82fb60f453498a6fb25,Extract Variable,3,False
00fac32bbb9b766f9728f82fb60f453498a6fb25,Inline Variable,1,False
0107412860cb1d8d4acaf099a0b212e42d9d2355,Extract Variable,1,False
0107412860cb1d8d4acaf099a0b212e42d9d2355,Replace Conditional With Ternary,1,False
011449ddfa86d6a802ad998e0bed89f8f66eda0a,Add Class Modifier,1,False
011449ddfa86d6a802ad998e0bed89f8f66eda0a,Add Parameter,1,False
011449ddfa86d6a802ad998e0bed89f8f66eda0a,Change Type Declaration Kind,1,False
011449ddfa86d6a802ad998e0bed89f8f66eda0a,Encapsulate Attribute,1,False
011449ddfa86d6a802ad998e0bed89f8f66eda0a,Extract Variable,1,False
011449ddfa86d6a802ad998e0bed89f8f66eda0a,Remove Parameter,1,False
0123c34fad2d333bd4b254075a67385fff7380a6,Rename Attribute,1,False
012dcd2dff8d3221d01d1d73c01600296c2cc605,Extract Variable,1,False
0132abc22773f0c59e789858104a68841386f28b,Change Variable Type,3,False
0132abc22773f0c59e789858104a68841386f28b,Extract Variable,1,False
0132abc22773f0c59e789858104a68841386f28b,Rename Variable,3,False
013418926dd876274aef5011a271f55c68f62d20,Parameterize Variable,1,False
01349dafb4b20a49bd7973cfb5d5af4c840150df,Extract Variable,1,False
014df80465bad7d2487890fe50be63306e97b3d2,Change Attribute Type,2,False
014df80465bad7d2487890fe50be63306e97b3d2,Change Parameter Type,2,False
014df80465bad7d2487890fe50be63306e97b3d2,Change Return Type,2,False
0155b680c8cf17bebf775806bf7c60ecf1e841ed,Add Attribute Annotation,3,True
0155b680c8cf17bebf775806bf7c60ecf1e841ed,Add Class Annotation,1,True
0155b680c8cf17bebf775806bf7c60ecf1e841ed,Add Parameter,5,True
0155b680c8cf17bebf775806bf7c60ecf1e841ed,Change Method Access Modifier,1,True
0155b680c8cf17bebf775806bf7c60ecf1e841ed,Remove Attribute Modifier,3,True
0155b680c8cf17bebf775806bf7c60ecf1e841ed,Rename Attribute,1,True
01725a33505303f117691f39f2a9eec69c7b83d2,Add Attribute Modifier,4,False
01725a33505303f117691f39f2a9eec69c7b83d2,Change Attribute Access Modifier,2,False
01725a33505303f117691f39f2a9eec69c7b83d2,Rename Attribute,2,False
01725a33505303f117691f39f2a9eec69c7b83d2,Rename Method,1,False
017be09ae6520ba84c39fc13ec4b85d31110821d,Extract Variable,1,False
018d3337e5ed7f8324b6bf9a3e56dc9354de4891,Change Return Type,1,False
018d3337e5ed7f8324b6bf9a3e56dc9354de4891,Replace Variable With Attribute,1,False
01929b3fab4f1e2f35d8c85073b9498249908c02,Add Class Annotation,1,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Add Parameter,1,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Change Method Access Modifier,1,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Localize Parameter,4,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Merge Parameter,1,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Move And Rename Method,2,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Move Attribute,3,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Remove Class Annotation,1,True
01929b3fab4f1e2f35d8c85073b9498249908c02,Remove Parameter,4,True
