refactoring_type,overall_count,sar_count,overall_pct,sar_pct,human_count,human_prod,human_test,human_pct,human_prod_pct,human_test_pct
Change Variable Type,843.0,843.0,11.83,11.83,516150,360448,155702,7.73,6.55,13.22
Rename Parameter,742.0,742.0,10.41,10.41,197551,182087,15464,2.96,3.31,1.31
Rename Variable,607.0,607.0,8.52,8.52,219487,171523,47964,3.29,3.12,4.07
Move And Inline Method,511.0,511.0,7.17,7.17,23278,17799,5479,0.35,0.32,0.47
Rename Attribute,428.0,428.0,6.01,6.01,125215,110880,14335,1.87,2.02,1.22
Change Attribute Type,373.0,373.0,5.23,5.23,230411,201793,28618,3.45,3.67,2.43
Add Method Annotation,292.0,292.0,4.1,4.1,389062,301451,87611,5.83,5.48,7.44
Change Method Access Modifier,271.0,271.0,3.8,3.8,193343,138878,54465,2.89,2.52,4.62
Add Attribute Annotation,261.0,261.0,3.66,3.66,57040,49983,7057,0.85,0.91,0.6
Rename Method,232.0,232.0,3.26,3.26,292091,229658,62433,4.37,4.18,5.3
Add Attribute Modifier,194.0,194.0,2.72,2.72,117093,103533,13560,1.75,1.88,1.15
Change Parameter Type,180.0,180.0,2.53,2.53,413357,383205,30152,6.19,6.97,2.56
Remove Method Annotation,177.0,177.0,2.48,2.48,150130,114358,35772,2.25,2.08,3.04
Extract Variable,174.0,174.0,2.44,2.44,140047,119648,20399,2.1,2.18,1.73
Remove Attribute Annotation,164.0,164.0,2.3,2.3,37638,32373,5265,0.56,0.59,0.45
Change Return Type,160.0,160.0,2.24,2.24,313956,290943,23013,4.7,5.29,1.95
Rename Class,154.0,154.0,2.16,2.16,57166,43308,13858,0.86,0.79,1.18
Extract Method,151.0,151.0,2.12,2.12,174883,146656,28227,2.62,2.67,2.4
Change Attribute Access Modifier,131.0,131.0,1.84,1.84,155579,137274,18305,2.33,2.5,1.55
Add Parameter,94.0,94.0,1.32,1.32,286321,260639,25682,4.29,4.74,2.18
Change Class Access Modifier,81.0,81.0,1.14,1.14,30009,21606,8403,0.45,0.39,0.71
Add Class Annotation,76.0,76.0,1.07,1.07,77562,55769,21793,1.16,1.01,1.85
Modify Method Annotation,61.0,61.0,0.86,0.86,56609,31826,24783,0.85,0.58,2.1
Move Class,59.0,59.0,0.83,0.83,277898,220160,57738,4.16,4.0,4.9
Try With Resources,49.0,49.0,0.69,0.69,0,0,0,0.0,0.0,0.0
Move Method,48.0,48.0,0.67,0.67,135193,110884,24309,2.02,2.02,2.06
Extract And Move Method,47.0,47.0,0.66,0.66,49937,39938,9999,0.75,0.73,0.85
Change Type Declaration Kind,43.0,43.0,0.6,0.6,4833,4652,181,0.07,0.08,0.02
Inline Variable,38.0,38.0,0.53,0.53,55913,48087,7826,0.84,0.87,0.66
Remove Parameter,31.0,31.0,0.43,0.43,159517,146012,13505,2.39,2.65,1.15
