commit_sha,before_value,after_value,improvement_rate_pct
00091d733a4978f2b795b5ab9690f7af77d82ffe,47.0,47.0,0.0
003ec013f1f503ba8d5fa59b32eb9caf9f10841a,141.0,141.0,0.0
004892ef2ec803c8917cd2f0df1ed354e8ada865,22.0,22.0,0.0
00599300711acc3579aa0e5e36b0b1b041ac6cbd,308.0,308.0,0.0
007096a0bf4b949d6e35c8f983b4431de959ee7c,64.0,64.0,0.0
00a0b88fc0ce494fe41ddd2d324765541f600b2c,294.0,295.0,-0.3401360544217687
00b8b8fd015959233c3e3dabe9b51983838c0ef0,78.0,78.0,0.0
00d156d5928c2c397008b22556a4ef1e78ff7733,138.0,137.0,0.7246376811594203
00f8d8273f03768f653a02fa135fd39cc5958b30,21.0,21.0,0.0
00fac32bbb9b766f9728f82fb60f453498a6fb25,82.0,82.0,0.0
0123c34fad2d333bd4b254075a67385fff7380a6,6.0,6.0,0.0
012dcd2dff8d3221d01d1d73c01600296c2cc605,359.0,359.0,0.0
0132abc22773f0c59e789858104a68841386f28b,121.0,121.0,0.0
013418926dd876274aef5011a271f55c68f62d20,82.0,83.0,-1.2195121951219512
01349dafb4b20a49bd7973cfb5d5af4c840150df,17.0,17.0,0.0
017be09ae6520ba84c39fc13ec4b85d31110821d,12.0,12.0,0.0
01929b3fab4f1e2f35d8c85073b9498249908c02,10936.0,10937.0,-0.0091441111923921
01ee38ef62b0bd27299373e75d8d515b11967008,1712.0,1712.0,0.0
02128fc557b1bccc37248fa271166d43d05dbee1,11.0,11.0,0.0
0218f6ccfc4d5662b8bfaa6f50fe8aa3b21030b9,64.0,64.0,0.0
02233fe02d0845c4a9293785467f7819089d3f5e,72.0,71.0,1.3888888888888888
022b8a6de9a8ca8f2e96ba8ddb43a2f042e5eeb7,87.0,87.0,0.0
02592f96fc65fb666a62de046aea2ed39baea3b1,20.0,20.0,0.0
02751711529bc8d6599bdc420f34ced38580435b,12.0,12.0,0.0
0276f78a819505f93d632998efd9e621e4650dac,33.0,33.0,0.0
027f4377bfe66889fe9df92a0306a3b26e09cd63,15.0,16.0,-6.666666666666667
029e8ae3e604f211e68fdb54d473fda70d2d6f8e,305.0,305.0,0.0
02b7d0662257426c73f7ec66475a5ea7b1caa4a1,109.0,116.0,-6.422018348623854
02c0d02d4210ecb5657b10361bb92d719bc4fde0,35.0,35.0,0.0
02d910aae8b84e3d4846ee7a9112734acc6b063d,95.0,95.0,0.0
02f8ea54f0fb8efd1267865ccd0eed00446c760a,39.0,39.0,0.0
02fab51c0c97274a65dc24628daf9e1be55074ba,47.0,49.0,-4.25531914893617
0318b8f7439a575711c389079d58d53cf8d7d64a,3175.0,3175.0,0.0
031d5b0ccbb0c78999c3abbdba33ea01a7a1a386,9.0,9.0,0.0
032cdd57718007e9ae48aeb5d39ef73e6284df3a,435.0,434.0,0.22988505747126436
033e714474e7b79d7087bfe82fe836514f365bb8,177.0,177.0,0.0
0341e32bc0f2dcbd02cd3af9f46d0605450f2394,813.0,819.0,-0.7380073800738007
035bc1d8e5a519b79fbd83152a82fcbc0606bc35,9.0,8.0,11.11111111111111
037fce78d2be3462962def76345f3477c9144df0,721.0,721.0,0.0
038f4823316c82e2c3a290be1c4505bace1339c2,8.0,8.0,0.0
03a237d5d2968a5e1fdf96efa546d3296d1b04e9,721.0,721.0,0.0
03bbff80e41fa88617bbdd5888f3fd092b42123d,21.0,21.0,0.0
03c3067db19c3f7abbc88fd56db2e1b84aaf1f6d,58.0,58.0,0.0
04104ca4d5943fcefff0b35558540b9225797f79,111.0,111.0,0.0
041e9202ccba80909f0904e076f15cc38bc04e54,13.0,13.0,0.0
042e71ecfe88b185d5ba0bcbece90fd85bc0d858,13.0,13.0,0.0
0469fe512957985a3d8337bb4e4e75a7be95b671,1709.0,1710.0,-0.058513750731421885
