commit_sha,metric,before_total,after_total,delta_total,observation_count,improvement_rate_pct
00064d29676a180ebaf2b70333326f29717ecf2c,CC,1.0,1.0,0.0,1,0.0
00064d29676a180ebaf2b70333326f29717ecf2c,LOC,3.0,3.0,0.0,1,0.0
00064d29676a180ebaf2b70333326f29717ecf2c,PC,1.0,1.0,0.0,1,0.0
00075734bbfa4c4173a4236db30755eef0ccaee0,CC,10.0,12.0,2.0,2,-20.0
00075734bbfa4c4173a4236db30755eef0ccaee0,LOC,38.0,42.0,4.0,2,-10.526315789473683
00075734bbfa4c4173a4236db30755eef0ccaee0,PC,2.0,2.0,0.0,2,0.0
001bcf08c34fd8d61ff53cac354e9f8d74016e3f,CC,7.0,7.0,0.0,2,0.0
001bcf08c34fd8d61ff53cac354e9f8d74016e3f,LOC,23.0,23.0,0.0,2,0.0
001bcf08c34fd8d61ff53cac354e9f8d74016e3f,PC,3.0,3.0,0.0,2,0.0
0029e94c470ee61bfecaab03758f3e84a8a00d78,CC,1.0,1.0,0.0,1,0.0
0029e94c470ee61bfecaab03758f3e84a8a00d78,LOC,3.0,3.0,0.0,1,0.0
0029e94c470ee61bfecaab03758f3e84a8a00d78,PC,2.0,2.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,CC,1.0,1.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,LOC,11.0,12.0,1.0,1,-9.090909090909092
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,PC,9.0,10.0,1.0,1,-11.11111111111111
004355b9eb334af996f9855a8e96c1ed2f5c1071,CC,96.0,59.0,-37.0,30,38.54166666666667
004355b9eb334af996f9855a8e96c1ed2f5c1071,LOC,880.0,437.0,-443.0,30,50.34090909090909
004355b9eb334af996f9855a8e96c1ed2f5c1071,PC,30.0,43.0,13.0,30,-43.333333333333336
0067df362e22b4225bcb0fa8514389230406bea8,CC,4.0,4.0,0.0,3,0.0
0067df362e22b4225bcb0fa8514389230406bea8,LOC,16.0,18.0,2.0,3,-12.5
0067df362e22b4225bcb0fa8514389230406bea8,PC,3.0,6.0,3.0,3,-100.0
00788dbed21a780f6b152a1899ae2ae31d05d54c,CC,6.0,6.0,0.0,4,0.0
00788dbed21a780f6b152a1899ae2ae31d05d54c,LOC,22.0,22.0,0.0,4,0.0
00788dbed21a780f6b152a1899ae2ae31d05d54c,PC,5.0,5.0,0.0,4,0.0
007bd77cb0354119d6b3ef2d945f546bc87e4c27,CC,16.0,16.0,0.0,8,0.0
007bd77cb0354119d6b3ef2d945f546bc87e4c27,LOC,72.0,72.0,0.0,8,0.0
007bd77cb0354119d6b3ef2d945f546bc87e4c27,PC,36.0,36.0,0.0,8,0.0
0081e51459120c35bf521e774a74c99bc20b1519,CC,6.0,6.0,0.0,5,0.0
0081e51459120c35bf521e774a74c99bc20b1519,LOC,42.0,51.0,9.0,5,-21.428571428571427
0081e51459120c35bf521e774a74c99bc20b1519,PC,22.0,24.0,2.0,5,-9.090909090909092
008599d6469589a2ffb73bd2dbc6de399693dce8,CC,1.0,1.0,0.0,1,0.0
008599d6469589a2ffb73bd2dbc6de399693dce8,LOC,5.0,6.0,1.0,1,-20.0
008599d6469589a2ffb73bd2dbc6de399693dce8,PC,2.0,3.0,1.0,1,-50.0
00c2580162a7758312577c2846e8fd3d227c0a00,CC,6.0,6.0,0.0,1,0.0
00c2580162a7758312577c2846e8fd3d227c0a00,LOC,33.0,33.0,0.0,1,0.0
00c2580162a7758312577c2846e8fd3d227c0a00,PC,0.0,0.0,0.0,1,
0107412860cb1d8d4acaf099a0b212e42d9d2355,CC,7.0,8.0,1.0,1,-14.285714285714285
0107412860cb1d8d4acaf099a0b212e42d9d2355,LOC,27.0,30.0,3.0,1,-11.11111111111111
0107412860cb1d8d4acaf099a0b212e42d9d2355,PC,2.0,2.0,0.0,1,0.0
011449ddfa86d6a802ad998e0bed89f8f66eda0a,CC,1.0,1.0,0.0,1,0.0
011449ddfa86d6a802ad998e0bed89f8f66eda0a,LOC,3.0,7.0,4.0,1,-133.33333333333331
011449ddfa86d6a802ad998e0bed89f8f66eda0a,PC,2.0,2.0,0.0,1,0.0
014df80465bad7d2487890fe50be63306e97b3d2,CC,2.0,2.0,0.0,2,0.0
014df80465bad7d2487890fe50be63306e97b3d2,LOC,6.0,7.0,1.0,2,-16.666666666666664
014df80465bad7d2487890fe50be63306e97b3d2,PC,0.0,0.0,0.0,2,
0155b680c8cf17bebf775806bf7c60ecf1e841ed,CC,1.0,1.0,0.0,1,0.0
0155b680c8cf17bebf775806bf7c60ecf1e841ed,LOC,12.0,17.0,5.0,1,-41.66666666666667
