commit_sha,metric,before_total,after_total,delta_total,observation_count,improvement_rate_pct
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,DIT,0.0,0.0,0.0,1,
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,FANIN,1.0,1.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,FANOUT,1.0,1.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,LCOM,-1.0,-1.0,0.0,1,
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,LOC,5.0,5.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,NOF,0.0,0.0,0.0,1,
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,NOM,1.0,1.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,WMC,1.0,1.0,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,DIT,0.0,0.0,0.0,1,
00b4badde385e6abec906ced0e38a9234f39f58c,FANIN,0.0,0.0,0.0,1,
00b4badde385e6abec906ced0e38a9234f39f58c,FANOUT,0.0,0.0,0.0,1,
00b4badde385e6abec906ced0e38a9234f39f58c,LCOM,0.5,0.5,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,LOC,14.0,14.0,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,NOF,1.0,1.0,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,NOM,4.0,4.0,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,WMC,4.0,4.0,0.0,1,0.0
00d3ebbad760e2f5e12377b71104377950003ad8,DIT,0.0,0.0,0.0,1,
00d3ebbad760e2f5e12377b71104377950003ad8,FANIN,0.0,1.0,1.0,1,
00d3ebbad760e2f5e12377b71104377950003ad8,FANOUT,0.0,2.0,2.0,1,
00d3ebbad760e2f5e12377b71104377950003ad8,LCOM,-1.0,0.1875,1.1875,1,
00d3ebbad760e2f5e12377b71104377950003ad8,LOC,2.0,61.0,59.0,1,-2950.0
00d3ebbad760e2f5e12377b71104377950003ad8,NOF,0.0,7.0,7.0,1,
00d3ebbad760e2f5e12377b71104377950003ad8,NOM,0.0,16.0,16.0,1,
00d3ebbad760e2f5e12377b71104377950003ad8,WMC,0.0,16.0,16.0,1,
00ea93e861f7d96b07c8af4189efe155bfe2c22b,DIT,0.0,0.0,0.0,2,
00ea93e861f7d96b07c8af4189efe155bfe2c22b,FANIN,0.0,3.0,3.0,2,
00ea93e861f7d96b07c8af4189efe155bfe2c22b,FANOUT,0.0,0.0,0.0,2,
00ea93e861f7d96b07c8af4189efe155bfe2c22b,LCOM,-2.0,-2.0,0.0,2,
00ea93e861f7d96b07c8af4189efe155bfe2c22b,LOC,23.0,23.0,0.0,2,0.0
00ea93e861f7d96b07c8af4189efe155bfe2c22b,NOF,19.0,19.0,0.0,2,0.0
00ea93e861f7d96b07c8af4189efe155bfe2c22b,NOM,0.0,0.0,0.0,2,
00ea93e861f7d96b07c8af4189efe155bfe2c22b,WMC,0.0,0.0,0.0,2,
0155b680c8cf17bebf775806bf7c60ecf1e841ed,DIT,0.0,0.0,0.0,1,
0155b680c8cf17bebf775806bf7c60ecf1e841ed,FANIN,0.0,0.0,0.0,1,
0155b680c8cf17bebf775806bf7c60ecf1e841ed,FANOUT,1.0,1.0,0.0,1,0.0
0155b680c8cf17bebf775806bf7c60ecf1e841ed,LCOM,0.0,0.0,0.0,1,
0155b680c8cf17bebf775806bf7c60ecf1e841ed,LOC,21.0,18.0,-3.0,1,14.285714285714285
0155b680c8cf17bebf775806bf7c60ecf1e841ed,NOF,1.0,1.0,0.0,1,0.0
0155b680c8cf17bebf775806bf7c60ecf1e841ed,NOM,4.0,3.0,-1.0,1,25.0
0155b680c8cf17bebf775806bf7c60ecf1e841ed,WMC,4.0,3.0,-1.0,1,25.0
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,DIT,0.0,0.0,0.0,2,
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,FANIN,5.0,6.0,1.0,2,-20.0
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,FANOUT,1.0,1.0,0.0,2,0.0
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,LCOM,-2.0,-2.0,0.0,2,
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,LOC,11.0,12.0,1.0,2,-9.090909090909092
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,NOF,0.0,0.0,0.0,2,
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,NOM,4.0,5.0,1.0,2,-25.0
01d0bd1f06e4ae99a01e782bcafbf85b96e2f903,WMC,4.0,5.0,1.0,2,-25.0
02078a9b58868b9e70f293fb02fd0d2eebf91022,DIT,0.0,0.0,0.0,3,
02078a9b58868b9e70f293fb02fd0d2eebf91022,FANIN,0.0,0.0,0.0,3,
02078a9b58868b9e70f293fb02fd0d2eebf91022,FANOUT,4.0,4.0,0.0,3,0.0
02078a9b58868b9e70f293fb02fd0d2eebf91022,LCOM,-3.0,0.0,3.0,3,
02078a9b58868b9e70f293fb02fd0d2eebf91022,LOC,72.0,94.0,22.0,3,-30.555555555555557
02078a9b58868b9e70f293fb02fd0d2eebf91022,NOF,0.0,3.0,3.0,3,
02078a9b58868b9e70f293fb02fd0d2eebf91022,NOM,13.0,14.0,1.0,3,-7.6923076923076925
02078a9b58868b9e70f293fb02fd0d2eebf91022,WMC,13.0,14.0,1.0,3,-7.6923076923076925
0207905ccea44ad0abfa791749611fc7927578df,DIT,0.0,0.0,0.0,1,
0207905ccea44ad0abfa791749611fc7927578df,FANIN,0.0,0.0,0.0,1,
0207905ccea44ad0abfa791749611fc7927578df,FANOUT,1.0,3.0,2.0,1,-200.0
0207905ccea44ad0abfa791749611fc7927578df,LCOM,0.0,0.0,0.0,1,
0207905ccea44ad0abfa791749611fc7927578df,LOC,16.0,33.0,17.0,1,-106.25
0207905ccea44ad0abfa791749611fc7927578df,NOF,2.0,3.0,1.0,1,-50.0
0207905ccea44ad0abfa791749611fc7927578df,NOM,2.0,4.0,2.0,1,-100.0
0207905ccea44ad0abfa791749611fc7927578df,WMC,2.0,6.0,4.0,1,-200.0
021ff5539e9f485f1f5df3f833873a836429942a,DIT,0.0,0.0,0.0,1,
021ff5539e9f485f1f5df3f833873a836429942a,FANIN,1.0,1.0,0.0,1,0.0
021ff5539e9f485f1f5df3f833873a836429942a,FANOUT,1.0,1.0,0.0,1,0.0
021ff5539e9f485f1f5df3f833873a836429942a,LCOM,-1.0,-1.0,0.0,1,
021ff5539e9f485f1f5df3f833873a836429942a,LOC,5.0,5.0,0.0,1,0.0
021ff5539e9f485f1f5df3f833873a836429942a,NOF,0.0,0.0,0.0,1,
021ff5539e9f485f1f5df3f833873a836429942a,NOM,1.0,1.0,0.0,1,0.0
021ff5539e9f485f1f5df3f833873a836429942a,WMC,1.0,1.0,0.0,1,0.0
0228a33d80d197b697565f88c640bb15efbda4fd,DIT,3.0,3.0,0.0,12,0.0
0228a33d80d197b697565f88c640bb15efbda4fd,FANIN,18.0,23.0,5.0,12,-27.77777777777778
0228a33d80d197b697565f88c640bb15efbda4fd,FANOUT,22.0,22.0,0.0,12,0.0
0228a33d80d197b697565f88c640bb15efbda4fd,LCOM,0.611985236985237,0.6832983193277311,0.071313082342494,12,-11.652745529254394
0228a33d80d197b697565f88c640bb15efbda4fd,LOC,770.0,895.0,125.0,12,-16.233766233766232
0228a33d80d197b697565f88c640bb15efbda4fd,NOF,33.0,28.0,-5.0,12,15.151515151515152
0228a33d80d197b697565f88c640bb15efbda4fd,NOM,96.0,111.0,15.0,12,-15.625
0228a33d80d197b697565f88c640bb15efbda4fd,WMC,136.0,146.0,10.0,12,-7.352941176470589
022e9a30b0907e0ab2382aad177ec1ebff5d3787,DIT,0.0,0.0,0.0,1,
022e9a30b0907e0ab2382aad177ec1ebff5d3787,FANIN,2.0,2.0,0.0,1,0.0
022e9a30b0907e0ab2382aad177ec1ebff5d3787,FANOUT,2.0,2.0,0.0,1,0.0
022e9a30b0907e0ab2382aad177ec1ebff5d3787,LCOM,-1.0,-1.0,0.0,1,
022e9a30b0907e0ab2382aad177ec1ebff5d3787,LOC,10.0,10.0,0.0,1,0.0
022e9a30b0907e0ab2382aad177ec1ebff5d3787,NOF,8.0,8.0,0.0,1,0.0
022e9a30b0907e0ab2382aad177ec1ebff5d3787,NOM,0.0,0.0,0.0,1,
022e9a30b0907e0ab2382aad177ec1ebff5d3787,WMC,0.0,0.0,0.0,1,
02590c6a929084e5d412e91d301f4f845e4cf653,DIT,0.0,0.0,0.0,2,
