commit_sha,metric,before_total,after_total,delta_total,observation_count,improvement_rate_pct
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,DIT,0.0,0.0,0.0,1,
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,FANIN,1.0,1.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,FANOUT,1.0,1.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,LCOM,-1.0,-1.0,0.0,1,
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,LOC,5.0,5.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,NOF,0.0,0.0,0.0,1,
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,NOM,1.0,1.0,0.0,1,0.0
002ce4434767d2fcdb374e0bd81bc6339d56e3fc,WMC,1.0,1.0,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,DIT,0.0,0.0,0.0,1,
00b4badde385e6abec906ced0e38a9234f39f58c,FANIN,0.0,0.0,0.0,1,
00b4badde385e6abec906ced0e38a9234f39f58c,FANOUT,0.0,0.0,0.0,1,
00b4badde385e6abec906ced0e38a9234f39f58c,LCOM,0.5,0.5,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,LOC,14.0,14.0,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,NOF,1.0,1.0,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,NOM,4.0,4.0,0.0,1,0.0
00b4badde385e6abec906ced0e38a9234f39f58c,WMC,4.0,4.0,0.0,1,0.0
0155b680c8cf17bebf775806bf7c60ecf1e841ed,DIT,0.0,0.0,0.0,1,
0155b680c8cf17bebf775806bf7c60ecf1e841ed,FANIN,0.0,0.0,0.0,1,
0155b680c8cf17bebf775806bf7c60ecf1e841ed,FANOUT,1.0,1.0,0.0,1,0.0
0155b680c8cf17bebf775806bf7c60ecf1e841ed,LCOM,0.0,0.0,0.0,1,
0155b680c8cf17bebf775806bf7c60ecf1e841ed,LOC,21.0,18.0,-3.0,1,14.285714285714285
0155b680c8cf17bebf775806bf7c60ecf1e841ed,NOF,1.0,1.0,0.0,1,0.0
0155b680c8cf17bebf775806bf7c60ecf1e841ed,NOM,4.0,3.0,-1.0,1,25.0
0155b680c8cf17bebf775806bf7c60ecf1e841ed,WMC,4.0,3.0,-1.0,1,25.0
0207905ccea44ad0abfa791749611fc7927578df,DIT,0.0,0.0,0.0,1,
0207905ccea44ad0abfa791749611fc7927578df,FANIN,0.0,0.0,0.0,1,
0207905ccea44ad0abfa791749611fc7927578df,FANOUT,1.0,3.0,2.0,1,-200.0
0207905ccea44ad0abfa791749611fc7927578df,LCOM,0.0,0.0,0.0,1,
0207905ccea44ad0abfa791749611fc7927578df,LOC,16.0,33.0,17.0,1,-106.25
0207905ccea44ad0abfa791749611fc7927578df,NOF,2.0,3.0,1.0,1,-50.0
0207905ccea44ad0abfa791749611fc7927578df,NOM,2.0,4.0,2.0,1,-100.0
0207905ccea44ad0abfa791749611fc7927578df,WMC,2.0,6.0,4.0,1,-200.0
021ff5539e9f485f1f5df3f833873a836429942a,DIT,0.0,0.0,0.0,1,
021ff5539e9f485f1f5df3f833873a836429942a,FANIN,1.0,1.0,0.0,1,0.0
021ff5539e9f485f1f5df3f833873a836429942a,FANOUT,1.0,1.0,0.0,1,0.0
021ff5539e9f485f1f5df3f833873a836429942a,LCOM,-1.0,-1.0,0.0,1,
021ff5539e9f485f1f5df3f833873a836429942a,LOC,5.0,5.0,0.0,1,0.0
021ff5539e9f485f1f5df3f833873a836429942a,NOF,0.0,0.0,0.0,1,
021ff5539e9f485f1f5df3f833873a836429942a,NOM,1.0,1.0,0.0,1,0.0
021ff5539e9f485f1f5df3f833873a836429942a,WMC,1.0,1.0,0.0,1,0.0
0228a33d80d197b697565f88c640bb15efbda4fd,DIT,3.0,3.0,0.0,12,0.0
0228a33d80d197b697565f88c640bb15efbda4fd,FANIN,18.0,23.0,5.0,12,-27.77777777777778
0228a33d80d197b697565f88c640bb15efbda4fd,FANOUT,22.0,22.0,0.0,12,0.0
0228a33d80d197b697565f88c640bb15efbda4fd,LCOM,0.611985236985237,0.6832983193277311,0.071313082342494,12,-11.652745529254394
0228a33d80d197b697565f88c640bb15efbda4fd,LOC,770.0,895.0,125.0,12,-16.233766233766232
0228a33d80d197b697565f88c640bb15efbda4fd,NOF,33.0,28.0,-5.0,12,15.151515151515152
0228a33d80d197b697565f88c640bb15efbda4fd,NOM,96.0,111.0,15.0,12,-15.625
0228a33d80d197b697565f88c640bb15efbda4fd,WMC,136.0,146.0,10.0,12,-7.352941176470589
022e9a30b0907e0ab2382aad177ec1ebff5d3787,DIT,0.0,0.0,0.0,1,
022e9a30b0907e0ab2382aad177ec1ebff5d3787,FANIN,2.0,2.0,0.0,1,0.0
022e9a30b0907e0ab2382aad177ec1ebff5d3787,FANOUT,2.0,2.0,0.0,1,0.0
022e9a30b0907e0ab2382aad177ec1ebff5d3787,LCOM,-1.0,-1.0,0.0,1,
022e9a30b0907e0ab2382aad177ec1ebff5d3787,LOC,10.0,10.0,0.0,1,0.0
022e9a30b0907e0ab2382aad177ec1ebff5d3787,NOF,8.0,8.0,0.0,1,0.0
022e9a30b0907e0ab2382aad177ec1ebff5d3787,NOM,0.0,0.0,0.0,1,
022e9a30b0907e0ab2382aad177ec1ebff5d3787,WMC,0.0,0.0,0.0,1,
02590c6a929084e5d412e91d301f4f845e4cf653,DIT,0.0,0.0,0.0,2,
02590c6a929084e5d412e91d301f4f845e4cf653,FANIN,1.0,1.0,0.0,2,0.0
02590c6a929084e5d412e91d301f4f845e4cf653,FANOUT,11.0,11.0,0.0,2,0.0
02590c6a929084e5d412e91d301f4f845e4cf653,LCOM,0.4444444444444444,0.4444444444444444,0.0,2,0.0
02590c6a929084e5d412e91d301f4f845e4cf653,LOC,135.0,138.0,3.0,2,-2.2222222222222223
02590c6a929084e5d412e91d301f4f845e4cf653,NOF,10.0,10.0,0.0,2,0.0
02590c6a929084e5d412e91d301f4f845e4cf653,NOM,10.0,10.0,0.0,2,0.0
02590c6a929084e5d412e91d301f4f845e4cf653,WMC,18.0,18.0,0.0,2,0.0
026138a16f307e6876f7e6faa433a920c7c46b98,DIT,0.0,0.0,0.0,1,
026138a16f307e6876f7e6faa433a920c7c46b98,FANIN,0.0,0.0,0.0,1,
026138a16f307e6876f7e6faa433a920c7c46b98,FANOUT,3.0,3.0,0.0,1,0.0
026138a16f307e6876f7e6faa433a920c7c46b98,LCOM,0.0,0.0,0.0,1,
026138a16f307e6876f7e6faa433a920c7c46b98,LOC,73.0,26.0,-47.0,1,64.38356164383562
026138a16f307e6876f7e6faa433a920c7c46b98,NOF,4.0,2.0,-2.0,1,50.0
026138a16f307e6876f7e6faa433a920c7c46b98,NOM,3.0,2.0,-1.0,1,33.33333333333333
026138a16f307e6876f7e6faa433a920c7c46b98,WMC,12.0,2.0,-10.0,1,83.33333333333334
031cc8fc884339033d29ec195a2fe0510727dfd5,DIT,0.0,1.0,1.0,2,
031cc8fc884339033d29ec195a2fe0510727dfd5,FANIN,3.0,2.0,-1.0,2,33.33333333333333
031cc8fc884339033d29ec195a2fe0510727dfd5,FANOUT,2.0,2.0,0.0,2,0.0
031cc8fc884339033d29ec195a2fe0510727dfd5,LCOM,-0.375,-0.5,-0.125,2,
031cc8fc884339033d29ec195a2fe0510727dfd5,LOC,43.0,42.0,-1.0,2,2.3255813953488373
031cc8fc884339033d29ec195a2fe0510727dfd5,NOF,1.0,1.0,0.0,2,0.0
031cc8fc884339033d29ec195a2fe0510727dfd5,NOM,10.0,8.0,-2.0,2,20.0
031cc8fc884339033d29ec195a2fe0510727dfd5,WMC,16.0,14.0,-2.0,2,12.5
0350ccf21ea1128bb315fcc13c3881333acb6664,DIT,0.0,0.0,0.0,1,
0350ccf21ea1128bb315fcc13c3881333acb6664,FANIN,1.0,1.0,0.0,1,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,FANOUT,1.0,1.0,0.0,1,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,LCOM,-1.0,-1.0,0.0,1,
0350ccf21ea1128bb315fcc13c3881333acb6664,LOC,5.0,5.0,0.0,1,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,NOF,0.0,0.0,0.0,1,
0350ccf21ea1128bb315fcc13c3881333acb6664,NOM,1.0,1.0,0.0,1,0.0
0350ccf21ea1128bb315fcc13c3881333acb6664,WMC,1.0,1.0,0.0,1,0.0
0357ce5730cdc3f788d39c5a045b2e58b9b5fa58,DIT,0.0,0.0,0.0,1,
