commit_sha,refactoring_type,entity_kind,metric,before_key,after_key,before_value,after_value,delta,child_sha,parent_sha
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LOC,com.dotcms.rest.api.v1.ema.EMAResource,com.dotcms.rest.api.v1.ema.EMAResource,40.0,32.0,-8.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,WMC,com.dotcms.rest.api.v1.ema.EMAResource,com.dotcms.rest.api.v1.ema.EMAResource,5.0,5.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOM,com.dotcms.rest.api.v1.ema.EMAResource,com.dotcms.rest.api.v1.ema.EMAResource,3.0,3.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOF,com.dotcms.rest.api.v1.ema.EMAResource,com.dotcms.rest.api.v1.ema.EMAResource,3.0,3.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,DIT,com.dotcms.rest.api.v1.ema.EMAResource,com.dotcms.rest.api.v1.ema.EMAResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LCOM,com.dotcms.rest.api.v1.ema.EMAResource,com.dotcms.rest.api.v1.ema.EMAResource,0.6666666666666666,0.6666666666666666,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANIN,com.dotcms.rest.api.v1.ema.EMAResource,com.dotcms.rest.api.v1.ema.EMAResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANOUT,com.dotcms.rest.api.v1.ema.EMAResource,com.dotcms.rest.api.v1.ema.EMAResource,9.0,9.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LOC,com.dotcms.rest.api.v1.event.EventsResource,com.dotcms.rest.api.v1.event.EventsResource,88.0,88.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,WMC,com.dotcms.rest.api.v1.event.EventsResource,com.dotcms.rest.api.v1.event.EventsResource,8.0,8.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOM,com.dotcms.rest.api.v1.event.EventsResource,com.dotcms.rest.api.v1.event.EventsResource,6.0,6.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOF,com.dotcms.rest.api.v1.event.EventsResource,com.dotcms.rest.api.v1.event.EventsResource,6.0,6.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,DIT,com.dotcms.rest.api.v1.event.EventsResource,com.dotcms.rest.api.v1.event.EventsResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LCOM,com.dotcms.rest.api.v1.event.EventsResource,com.dotcms.rest.api.v1.event.EventsResource,0.5,0.5,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANIN,com.dotcms.rest.api.v1.event.EventsResource,com.dotcms.rest.api.v1.event.EventsResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANOUT,com.dotcms.rest.api.v1.event.EventsResource,com.dotcms.rest.api.v1.event.EventsResource,12.0,12.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LOC,com.dotcms.rest.api.v1.notification.NotificationResource,com.dotcms.rest.api.v1.notification.NotificationResource,157.0,120.0,-37.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,WMC,com.dotcms.rest.api.v1.notification.NotificationResource,com.dotcms.rest.api.v1.notification.NotificationResource,13.0,13.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOM,com.dotcms.rest.api.v1.notification.NotificationResource,com.dotcms.rest.api.v1.notification.NotificationResource,7.0,7.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOF,com.dotcms.rest.api.v1.notification.NotificationResource,com.dotcms.rest.api.v1.notification.NotificationResource,6.0,6.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,DIT,com.dotcms.rest.api.v1.notification.NotificationResource,com.dotcms.rest.api.v1.notification.NotificationResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LCOM,com.dotcms.rest.api.v1.notification.NotificationResource,com.dotcms.rest.api.v1.notification.NotificationResource,0.2857142857142857,0.2857142857142857,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANIN,com.dotcms.rest.api.v1.notification.NotificationResource,com.dotcms.rest.api.v1.notification.NotificationResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANOUT,com.dotcms.rest.api.v1.notification.NotificationResource,com.dotcms.rest.api.v1.notification.NotificationResource,11.0,11.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LOC,com.dotcms.rest.api.v1.taillog.TailLogResource,com.dotcms.rest.api.v1.taillog.TailLogResource,150.0,150.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,WMC,com.dotcms.rest.api.v1.taillog.TailLogResource,com.dotcms.rest.api.v1.taillog.TailLogResource,20.0,20.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOM,com.dotcms.rest.api.v1.taillog.TailLogResource,com.dotcms.rest.api.v1.taillog.TailLogResource,8.0,8.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOF,com.dotcms.rest.api.v1.taillog.TailLogResource,com.dotcms.rest.api.v1.taillog.TailLogResource,7.0,7.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,DIT,com.dotcms.rest.api.v1.taillog.TailLogResource,com.dotcms.rest.api.v1.taillog.TailLogResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LCOM,com.dotcms.rest.api.v1.taillog.TailLogResource,com.dotcms.rest.api.v1.taillog.TailLogResource,0.25,0.25,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANIN,com.dotcms.rest.api.v1.taillog.TailLogResource,com.dotcms.rest.api.v1.taillog.TailLogResource,1.0,1.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANOUT,com.dotcms.rest.api.v1.taillog.TailLogResource,com.dotcms.rest.api.v1.taillog.TailLogResource,12.0,12.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LOC,com.dotcms.rest.api.v1.temp.TempFileResource,com.dotcms.rest.api.v1.temp.TempFileResource,128.0,128.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,WMC,com.dotcms.rest.api.v1.temp.TempFileResource,com.dotcms.rest.api.v1.temp.TempFileResource,21.0,21.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOM,com.dotcms.rest.api.v1.temp.TempFileResource,com.dotcms.rest.api.v1.temp.TempFileResource,10.0,10.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,NOF,com.dotcms.rest.api.v1.temp.TempFileResource,com.dotcms.rest.api.v1.temp.TempFileResource,4.0,4.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,DIT,com.dotcms.rest.api.v1.temp.TempFileResource,com.dotcms.rest.api.v1.temp.TempFileResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,LCOM,com.dotcms.rest.api.v1.temp.TempFileResource,com.dotcms.rest.api.v1.temp.TempFileResource,0.2,0.2,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANIN,com.dotcms.rest.api.v1.temp.TempFileResource,com.dotcms.rest.api.v1.temp.TempFileResource,3.0,3.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Add Class Annotation,type,FANOUT,com.dotcms.rest.api.v1.temp.TempFileResource,com.dotcms.rest.api.v1.temp.TempFileResource,14.0,14.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Modify Class Annotation,type,LOC,com.dotcms.ai.rest.CompletionsResource,com.dotcms.ai.rest.CompletionsResource,78.0,78.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Modify Class Annotation,type,WMC,com.dotcms.ai.rest.CompletionsResource,com.dotcms.ai.rest.CompletionsResource,10.0,10.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Modify Class Annotation,type,NOM,com.dotcms.ai.rest.CompletionsResource,com.dotcms.ai.rest.CompletionsResource,7.0,7.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Modify Class Annotation,type,NOF,com.dotcms.ai.rest.CompletionsResource,com.dotcms.ai.rest.CompletionsResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Modify Class Annotation,type,DIT,com.dotcms.ai.rest.CompletionsResource,com.dotcms.ai.rest.CompletionsResource,0.0,0.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Modify Class Annotation,type,LCOM,com.dotcms.ai.rest.CompletionsResource,com.dotcms.ai.rest.CompletionsResource,-1.0,-1.0,0.0,,
61e7f81e4ace04c50ccafeb5fc5094ac7b7e7a7a,Modify Class Annotation,type,FANIN,com.dotcms.ai.rest.CompletionsResource,com.dotcms.ai.rest.CompletionsResource,1.0,1.0,0.0,,
